É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 13:43:44,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl
îNåé,,,,ïΩãœãCâ∑(Åé),ì˙ç≈çÇãCâ∑ÇÃïΩãœ(Åé),ì˙ç≈í·ãCâ∑ÇÃïΩãœ(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆ó¶(Åì),ì˙è∆ó¶(Åì),ïΩãœéºìx(Åì),ïΩãœåªínãCà≥(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
14-Jan,2014,1,14,6.4,10.5,2.5,16.4,-0.4,38.5,0,6.5,0,20,0,206.6,0,67,0,50,1012.5
14-Feb,2014,2,14,5.8,9.9,2.7,19.1,-1.1,127.5,0,8,0,44.5,0,126,0,42,0,57,1013.2
14-Mar,2014,3,14,10.1,14.5,6.4,22.1,1,128,0,9,0,45,0,197.5,0,54,0,57,1009.4
14-Apr,2014,4,14,14.3,19,10.5,23.4,4.6,154.5,0,16,0,48.5,0,222,0,57,0,62,1010.9
14-May,2014,5,14,19.5,24.3,15.8,30.3,10.8,127.5,0,12.5,0,57.5,0,253,0,58,0,68,1005.8
14-Jun,2014,6,14,22.6,26.4,19.8,31,17.5,348.5,0,24.5,0,155,0,172.1,0,40,0,79,1002.3
14-Jul,2014,7,14,25.9,30.1,23.1,35.2,19.9,68.5,0,9,0,11,0,197.5,0,45,0,79,1004
14-Aug,2014,8,14,26.8,30.5,24.1,34.5,19.4,125.5,0,17.5,0,50.5,0,197.3,0,47,0,78,1005.3
14-Sep,2014,9,14,22.8,26.7,19.9,30.9,15.8,88.5,0,11.5,0,38,0,166.6,0,45,0,71,1007.7
14-Oct,2014,10,14,18.6,22.7,15.6,30.2,11.4,476,0,51,0,187,0,142.6,0,41,0,72,1012.5
14-Nov,2014,11,14,14,17.2,11,22.3,6.8,90,0,6.5,0,31,0,142.2,0,46,0,67,1012.6
14-Dec,2014,12,14,7.5,11.4,4,17.1,0.4,87,0,8.5,0,28.5,0,197.3,0,65,0,56,1008.7
15-Jan,2015,1,14,6.2,10.4,2.7,16.6,-0.8,106.5,0,12,0,32,0,188.9,0,61,0,55,1009.8
15-Feb,2015,2,14,6.4,10.5,3.3,20.7,-0.7,53,0,5,0,14.5,0,167.3,0,55,0,60,1009.9
15-Mar,2015,3,14,10.5,15,6.9,21.8,2.1,113,0,9,0,37.5,0,184.9,0,50,0,61,1011.5
15-Apr,2015,4,14,14.6,18.8,11.1,25.4,2.8,121,0,5.5,0,41.5,0,152.5,0,39,0,74,1011.7
15-May,2015,5,14,20.8,25.4,17.3,30.3,13.2,69.5,0,17,0,31,0,249.9,0,58,0,68,1004.9
15-Jun,2015,6,14,21.9,25.8,19.1,29.3,13.9,145.5,0,10.5,0,29.5,0,143.1,0,33,0,78,1003.6
15-Jul,2015,7,14,26,29.7,23.4,35.3,18.6,325.5,0,28.5,0,103,0,204.8,0,46,0,81,1004.7
15-Aug,2015,8,14,26.8,30.2,24.4,35.8,17.7,118,0,22.5,0,44,0,176.8,0,42,0,79,1004.6
15-Sep,2015,9,14,22.9,26.2,20.5,30.4,16.4,483,0,35,0,142,0,125.4,0,34,0,79,1007.4
15-Oct,2015,10,14,18.9,22.6,15.9,27,12.1,54,0,15,0,20,0,192,0,55,0,67,1010.4
15-Nov,2015,11,14,14.7,17.9,11.9,23.5,6,137,0,11.5,0,30,0,122.9,0,40,0,74,1016
15-Dec,2015,12,14,10.1,13.7,7.1,23.7,3.2,110,0,15.5,0,73.5,0,167.6,0,55,0,60,1014
16-Jan,2016,1,14,6.9,10.8,3.4,15.4,-0.9,73.5,0,8.5,0,45.5,0,194.2,0,63,0,57,1010.9
16-Feb,2016,2,14,7.8,12,4.2,21.5,1.4,101.5,0,23,0,53,0,168.4,0,54,0,58,1013.5
16-Mar,2016,3,14,10.5,14.5,7,20.5,2.1,206.5,0,35,0,87.5,0,155.6,0,42,0,64,1013.7
16-Apr,2016,4,14,15.7,20,12.2,24.7,6.5,154,0,14.5,0,43.5,0,140.9,0,36,0,70,1008.5
16-May,2016,5,14,20.2,24.6,16.6,29.8,12.9,129,0,16.5,0,29,0,218.7,0,51,0,70,1008.4
16-Jun,2016,6,14,22.3,26,19.6,31.5,15.6,175.5,0,15.5,0,78.5,0,142.1,0,33,0,77,1004.4
16-Jul,2016,7,14,25.4,29.3,22.7,34.9,20.4,290,0,81,0,110,0,169.2,0,38,0,81,1005.1
16-Aug,2016,8,14,27.4,31.3,24.5,37.4,21.1,220.5,0,36,0,104,0,192,0,46,0,78,1000.1
16-Sep,2016,9,14,24.6,27.6,22.5,32.5,17.8,314,0,19.5,0,112,0,109.7,0,30,0,85,1008.4
16-Oct,2016,10,14,19.3,22.6,16.4,31.8,10.3,66.5,0,9.5,0,20,0,117.2,0,34,0,71,1012.5
16-Nov,2016,11,14,12.1,15.8,8.9,21.9,1.2,148,0,12.5,0,47,0,130,0,42,0,69,1013.8
16-Dec,2016,12,14,10,14.4,5.9,20.5,1.8,90.5,0,13.5,0,39,0,197.2,0,65,0,57,1012.7
17-Jan,2017,1,14,6.8,11,3.1,19.3,-1.2,24.5,0,3.5,0,19.5,0,236.8,0,76,0,50,1009.8
17-Feb,2017,2,14,7.5,11.9,3.8,18.7,-0.4,15,0,3.5,0,5,0,192.6,0,64,0,48,1008.8
17-Mar,2017,3,14,8.9,13.1,5.4,18.2,2,90.5,0,4.5,0,20.5,0,182,0,49,0,59,1009.1
17-Apr,2017,4,14,14.9,19.3,11.3,25.7,4.8,122.5,0,8,0,35.5,0,198.5,0,51,0,66,1007.7
17-May,2017,5,14,20,24.6,16.8,30,13.1,60.5,0,8,0,34,0,228.2,0,53,0,72,1007.4
17-Jun,2017,6,14,22,25.9,19.1,29.9,15.7,138,0,11,0,47,0,170.7,0,39,0,74,1003.5
17-Jul,2017,7,14,27.1,31.2,24.3,33.3,21.8,81,0,21,0,39.5,0,224.6,0,51,0,78,1004.2
17-Aug,2017,8,14,26.6,30.4,24,35.1,20.3,148,0,29.5,0,32.5,0,119.2,0,30,0,81,1002.7
17-Sep,2017,9,14,23.2,26.6,20.3,31.9,16.8,322.5,0,23,0,75,0,130.9,0,35,0,76,1006.6
17-Oct,2017,10,14,17.3,20.2,15,29.5,10.4,544,0,22.5,0,153,0,104.6,0,30,0,79,1013.1
17-Nov,2017,11,14,13,17,9.4,22.4,4.1,65,0,6.5,0,41.5,0,169.8,0,55,0,63,1012.2
17-Dec,2017,12,14,7.7,11.8,4,17.8,0.2,17,0,9,0,15,0,216.7,0,72,0,54,1010.9
18-Jan,2018,1,14,5.6,9.9,2.1,15.8,-2.7,82.5,0,14.5,0,39,0,209.1,0,67,0,52,1009
18-Feb,2018,2,14,6,10.1,2.5,14.8,-0.4,19.5,0,3,0,7.5,0,173.9,0,57,0,55,1011.4
18-Mar,2018,3,14,11.9,16.6,7.6,23.2,0.9,230.5,0,25.5,0,61.5,0,196.7,0,53,0,65,1011.7
18-Apr,2018,4,14,17.2,21.9,13.5,27.6,7.1,118.5,0,22,0,66.5,0,205.7,0,53,0,65,1009.2
18-May,2018,5,14,19.8,24,16.2,28.5,10.5,192,0,21,0,52,0,201.4,0,47,0,70,1006.4
18-Jun,2018,6,14,22.3,26.1,19.6,32.1,14.7,188.5,0,10.5,0,45,0,177.6,0,41,0,80,1004.4
18-Jul,2018,7,14,28,32.2,25.1,37.2,20.1,101,0,13.5,0,52,0,258.7,0,59,0,77,1005.7
18-Aug,2018,8,14,28.1,32.1,25.3,36.1,19.6,78,0,26,0,31,0,241.8,0,58,0,76,1004
18-Sep,2018,9,14,23.1,26.4,20.5,31.7,15.2,373,0,22.5,0,45,0,99.4,0,27,0,83,1008.6
18-Oct,2018,10,14,19.7,23.3,16.8,32.4,12.6,64,0,12.5,0,20.5,0,152.1,0,44,0,70,1010.7
18-Nov,2018,11,14,14.6,17.9,11.7,23.2,7,56,0,9,0,31.5,0,146.9,0,48,0,68,1014.6
18-Dec,2018,12,14,9.1,12.6,6.1,23.3,1.1,70,0,10,0,19.5,0,131.3,0,43,0,58,1013.4
19-Jan,2019,1,14,6.6,11,2.9,16.3,1.2,14.5,0,3.5,0,13.5,0,213.4,0,69,0,48,1011.1
19-Feb,2019,2,14,7.9,11.7,4.6,20.6,-0.2,48.5,0,6.5,0,29.5,0,124.2,0,41,0,57,1012.7
19-Mar,2019,3,14,11,15.1,7.3,22.1,2.3,101,0,9.5,0,28.5,0,184.7,0,50,0,58,1007.8
19-Apr,2019,4,14,13.9,18.6,10.3,24.7,3.6,93.5,0,5.5,0,26,0,194.3,0,50,0,61,1008.1
19-May,2019,5,14,19.8,24.7,16.1,31.3,9.7,152.5,0,18,0,93,0,234.5,0,54,0,66,1008.3
19-Jun,2019,6,14,21.9,25.8,19.1,31.1,15.2,271,0,13.5,0,92.5,0,151.9,0,35,0,79,1002.7
19-Jul,2019,7,14,24.3,27.4,22,33.8,17.8,175,0,17.5,0,33,0,97.2,0,22,0,86,1004.7
19-Aug,2019,8,14,28.4,32.7,25.7,35.6,22.6,86.5,0,24,0,26.5,0,219.5,0,53,0,77,1003.9
19-Sep,2019,9,14,25.3,29.3,22.6,34.2,19.2,282,0,72,0,157,0,166.4,0,45,0,75,1010.1
19-Oct,2019,10,14,19.9,23.2,17.1,30.6,12.8,464.5,0,27.5,0,192.5,0,116.5,0,33,0,76,1010.9
19-Nov,2019,11,14,14,17.8,10.6,23.5,3.9,114,0,7.5,0,52.5,0,176.5,0,57,0,65,1013
19-Dec,2019,12,14,9.4,13.4,6.3,20.3,3.6,134,0,27.5,0,82.5,0,141.6,0,47,0,64,1014.3
20-Jan,2020,1,14,7.8,11.3,4.7,18.9,1.3,124.5,0,13,0,31,0,157.9,0,51,0,63,1011.4
20-Feb,2020,2,14,8.9,13,5.2,18.5,0,32.5,0,6,0,20,0,203.2,0,65,0,54,1013.3
20-Mar,2020,3,14,11.2,15.7,7.1,23.8,0.7,166.5,0,8,0,62.5,0,172,0,47,0,64,1008.6
20-Apr,2020,4,14,13.4,18.1,9.3,23.6,5.9,244.5,0,21,0,101.5,0,218.2,0,56,0,63,1007.5
20-May,2020,5,14,19.7,23.8,16.5,29.2,11.2,97.5,0,9.5,0,40,0,185,0,43,0,73,1006.4
20-Jun,2020,6,14,23.4,27.3,20.5,32.3,17.7,242.5,0,22.5,0,75,0,139.1,0,32,0,80,1002.6
20-Jul,2020,7,14,24.4,27.6,22.1,32.1,17.8,378.5,0,33.5,0,52,0,61.2,0,14,0,87,1004.3
20-Aug,2020,8,14,29.1,33.7,25.9,36.4,22.1,48,0,33,0,33,0,298.2,0,72,0,75,1006.3
20-Sep,2020,9,14,24.6,28.1,22.2,34.1,15.9,107,0,11,0,20,0,124.3,0,33,0,81,1007.4
20-Oct,2020,10,14,17.9,21.6,15.3,27.4,11.1,219.5,0,9,0,80,0,121.3,0,35,0,72,1012.1
20-Nov,2020,11,14,14.7,18.5,11.4,24.3,6.8,9,0,2,0,4,0,155.7,0,50,0,64,1015.1
20-Dec,2020,12,14,8.8,12.5,5.3,16.9,1.4,17.5,0,4.5,0,8.5,0,169,0,56,0,59,1011.5
21-Jan,2021,1,14,6.2,10.2,2.5,18.1,-0.8,46.5,0,2.5,0,20,0,185.3,0,60,0,56,1011.8
21-Feb,2021,2,14,9.1,13.8,4.6,21.9,0.5,97.5,0,31,0,90.5,0,227.4,0,75,0,48,1009.6
21-Mar,2021,3,14,13.2,17.6,9.5,23.1,4.3,219,0,26.5,0,85,0,191.1,0,52,0,62,1012.2
21-Apr,2021,4,14,15.2,20.1,11.4,26.1,7.4,155.5,0,24.5,0,48,0,218.5,0,56,0,60,1012.5
21-May,2021,5,14,,,,,,,0,,0,,0,,0,,0,,
