É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 13:49:05,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs
îNåé,,,,ïΩãœãCâ∑(Åé),ì˙ç≈çÇãCâ∑ÇÃïΩãœ(Åé),ì˙ç≈í·ãCâ∑ÇÃïΩãœ(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆ó¶(Åì),ì˙è∆ó¶(Åì),ïΩãœéºìx(Åì),ïΩãœåªínãCà≥(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
14-Jan,2014,1,26,4.4,8.9,0.7,14.3,-1.5,42.5,0,4,0,30,0,139.2,0,45,0,67,1016
14-Feb,2014,2,26,5.1,9.2,1.9,15.4,-1,55,0,3.5,0,17.5,0,108.1,0,36,0,67,1015
14-Mar,2014,3,26,9,14.1,4.7,22.9,-0.8,147.5,0,11,0,36.5,0,165.5,0,45,0,65,1011.5
14-Apr,2014,4,26,14.4,20.8,8.9,26.9,2,84.5,0,9,0,59,0,205.7,0,53,0,53,1010.7
14-May,2014,5,26,19.8,26.1,14.5,33.6,8.3,78,0,13.5,0,34,0,224,0,52,0,56,1006
14-Jun,2014,6,26,24.1,29.3,20.3,36,17.3,61,0,18.5,0,18.5,0,113.8,0,26,0,64,1000.7
14-Jul,2014,7,26,27.6,32.6,23.7,38.3,19.9,98,0,10.5,0,43,0,131.7,0,30,0,68,1002.7
14-Aug,2014,8,26,27.5,32.2,24.4,36.2,20.4,487,0,87.5,0,121,0,96.1,0,23,0,72,1003.6
14-Sep,2014,9,26,23.3,28.7,19.4,32.6,15.5,65,0,12,0,15,0,174.4,0,47,0,64,1006.6
14-Oct,2014,10,26,18.8,23.7,14.7,27.9,7.2,105,0,10.5,0,57,0,155.8,0,45,0,67,1011.5
14-Nov,2014,11,26,13.1,18,9.3,21.7,4,60,0,9.5,0,24.5,0,139.6,0,45,0,68,1013.1
14-Dec,2014,12,26,5.5,9.3,2.2,15.5,-1.7,93.5,0,10.5,0,20.5,0,126.9,0,42,0,67,1012.3
15-Jan,2015,1,26,4.9,8.4,2.2,13,-1.7,120.5,0,9.5,0,25.5,0,97.4,0,31,0,74,1012.9
15-Feb,2015,2,26,5.6,9.9,2.3,15.9,-1,43.5,0,4.5,0,13,0,104.8,0,34,0,69,1012.1
15-Mar,2015,3,26,9.4,14.8,4.9,24.5,-1.2,159,0,8,0,34,0,170.9,0,46,0,64,1012.8
15-Apr,2015,4,26,15.6,20.5,10.9,28.8,4.5,163.5,0,7,0,42.5,0,150,0,38,0,64,1010.4
15-May,2015,5,26,21.2,27.7,15.8,33.6,10.7,128,0,14.5,0,40.5,0,208.4,0,48,0,55,1004.4
15-Jun,2015,6,26,22.8,27.5,18.9,32.9,14.4,263,0,29,0,65,0,119.6,0,28,0,68,1002.2
15-Jul,2015,7,26,27.2,31.7,23.8,36.5,19.4,416.5,0,25.5,0,183.5,0,128.7,0,29,0,71,1003.3
15-Aug,2015,8,26,28.3,33.6,24.6,39.1,21.9,241.5,0,27,0,59.5,0,175.7,0,42,0,67,1002.6
15-Sep,2015,9,26,22.9,27.5,19.5,31.6,16.3,190.5,0,28.5,0,37.5,0,139.8,0,38,0,70,1006.3
15-Oct,2015,10,26,18.1,23.9,13.3,28,8.4,38.5,0,19.5,0,21,0,234.3,0,67,0,61,1011
15-Nov,2015,11,26,14.5,18.4,11.2,25.3,4.1,177,0,12,0,34.5,0,116.8,0,38,0,72,1015.4
15-Dec,2015,12,26,9,13.2,5.3,18.9,0.6,101,0,17,0,52.5,0,132.4,0,44,0,69,1015.4
16-Jan,2016,1,26,5.7,10.1,2,16,-4.1,77,0,5.5,0,49.5,0,152.9,0,49,0,65,1013.4
16-Feb,2016,2,26,6.4,11.4,2.3,21.8,-2,99,0,10,0,40,0,152.2,0,48,0,63,1015.2
16-Mar,2016,3,26,9.9,15.6,5.2,22.3,-0.7,69,0,9,0,28.5,0,173.3,0,47,0,60,1014.1
16-Apr,2016,4,26,16.1,21.6,11.4,28.6,3.5,180.5,0,14,0,85.5,0,161.5,0,41,0,61,1008.1
16-May,2016,5,26,21,27,15.8,33.1,10.6,147.5,0,17,0,50,0,213.6,0,49,0,59,1007.1
16-Jun,2016,6,26,23.2,28,19.4,33.5,12.6,284,0,17.5,0,31.5,0,114.4,0,26,0,69,1003.2
16-Jul,2016,7,26,27.8,33,24.1,37,21.7,102.5,0,14.5,0,36,0,159.1,0,36,0,68,1003.8
16-Aug,2016,8,26,29,34.7,24.9,37.9,20.2,148.5,0,23.5,0,78,0,226.9,0,55,0,63,998.8
16-Sep,2016,9,26,25.3,29.6,22.1,35,17.6,458.5,0,38.5,0,101,0,90.6,0,24,0,73,1006.6
16-Oct,2016,10,26,19.7,24.4,15.7,31,8.6,99.5,0,16,0,39,0,128.1,0,37,0,67,1011.8
16-Nov,2016,11,26,12.5,16.8,8.8,21.7,4.5,82,0,6,0,30,0,131.4,0,42,0,71,1014
16-Dec,2016,12,26,8.2,12.5,4.4,17.5,0.3,92,0,10.5,0,28.5,0,142.8,0,47,0,73,1015
17-Jan,2017,1,26,4.8,9.3,1.5,13.7,-2.7,61,0,5,0,20.5,0,142.3,0,46,0,71,1013.3
17-Feb,2017,2,26,5.1,9.6,1.7,15.2,-0.7,40,0,5,0,14,0,119.6,0,39,0,68,1012.3
17-Mar,2017,3,26,8.2,13.5,3.7,20.8,0.1,56,0,4.5,0,30.5,0,159.6,0,43,0,60,1010.6
17-Apr,2017,4,26,14.8,20.5,9.8,27.5,3.3,129,0,11.5,0,59.5,0,177.1,0,45,0,61,1007.6
17-May,2017,5,26,20.9,27,15.8,32.2,9.5,66,0,12,0,41,0,226,0,52,0,56,1006.8
17-Jun,2017,6,26,22.5,28.1,17.8,34,12.8,205,0,22,0,104.5,0,196.2,0,45,0,60,1003.1
17-Jul,2017,7,26,28.4,33.4,25.1,36.1,21.2,150.5,0,20,0,28,0,132.6,0,30,0,72,1003.5
17-Aug,2017,8,26,28.7,33.6,25.1,36.7,21.9,129.5,0,11.5,0,63.5,0,162.2,0,39,0,67,1001.2
17-Sep,2017,9,26,23.7,28.3,19.8,32.5,14.7,159,0,36.5,0,69.5,0,157.7,0,42,0,66,1005.7
17-Oct,2017,10,26,18,21.7,15,30.5,7.3,397,0,12,0,121,0,97.1,0,28,0,75,1011.9
17-Nov,2017,11,26,11.2,16.1,7.1,22.7,2.8,43,0,6,0,18,0,158,0,51,0,70,1013.9
17-Dec,2017,12,26,5.6,10,2.1,14.9,-0.8,33.5,0,9,0,29.5,0,144.4,0,48,0,67,1014.2
18-Jan,2018,1,26,3.9,8,0.7,14.8,-3.6,42.5,0,3.5,0,16.5,0,132,0,42,0,70,1012.4
18-Feb,2018,2,26,4.4,9.3,0.4,16.3,-3.3,23.5,0,3.5,0,19.5,0,166.3,0,55,0,59,1013.6
18-Mar,2018,3,26,10.9,17,5.6,25.5,0.3,157,0,10,0,37.5,0,212.6,0,58,0,59,1012.4
18-Apr,2018,4,26,16.4,22.5,11.1,29.5,3.8,161,0,14.5,0,44.5,0,198.5,0,51,0,59,1009.6
18-May,2018,5,26,20,25.3,15.5,31.8,8,187,0,19.5,0,62.5,0,190.5,0,44,0,60,1006.2
18-Jun,2018,6,26,23.4,28.3,19.4,34.8,14,209,0,15.5,0,52.5,0,156.1,0,36,0,68,1003.1
18-Jul,2018,7,26,29.8,35,25.8,39.8,22.1,368.5,0,38,0,171,0,219.2,0,50,0,64,1003.6
18-Aug,2018,8,26,29.5,35,25.5,39.5,18.6,112.5,0,20.5,0,37.5,0,199.9,0,48,0,63,1002.9
18-Sep,2018,9,26,23.6,27.4,20.6,32.6,15.4,390.5,0,41.5,0,84,0,77.6,0,21,0,75,1006.3
18-Oct,2018,10,26,18.7,23.6,14.7,29.9,10,35.5,0,6.5,0,10,0,170.7,0,49,0,66,1010.5
18-Nov,2018,11,26,13.5,18.3,9.5,23.9,3.8,22.5,0,6,0,10.5,0,143.9,0,46,0,69,1014.8
18-Dec,2018,12,26,8.2,12.1,4.9,22.7,0,60.5,0,5,0,12,0,114.5,0,38,0,73,1015.7
19-Jan,2019,1,26,5.1,9.2,1.9,12.1,-0.9,25,0,3.5,0,13.5,0,120.8,0,39,0,71,1014.3
19-Feb,2019,2,26,6.9,11.2,3.5,18,-0.4,41,0,3.5,0,18.5,0,109.7,0,36,0,67,1014.5
19-Mar,2019,3,26,9.6,14.8,5.1,21.2,0.9,68.5,0,5,0,15.5,0,145,0,39,0,62,1009.2
19-Apr,2019,4,26,13.9,19.5,8.9,26.8,2.2,107,0,9,0,29.5,0,191,0,49,0,59,1008.2
19-May,2019,5,26,20.7,27,15.2,34.2,6.5,84.5,0,14.5,0,39,0,247.3,0,57,0,49,1007
19-Jun,2019,6,26,23.6,28.6,19.7,33.2,16.9,140.5,0,17.5,0,30,0,150.3,0,35,0,65,1001.1
19-Jul,2019,7,26,26.4,30.8,23.3,36.8,20.4,213.5,0,19.5,0,41.5,0,89.5,0,20,0,77,1002.5
19-Aug,2019,8,26,29.3,34.3,25.7,38.6,21.2,355,0,47.5,0,66,0,181.9,0,44,0,69,1002.1
19-Sep,2019,9,26,26.2,31.1,22.8,36.9,15.9,84.5,0,27,0,28.5,0,161.9,0,44,0,68,1008.5
19-Oct,2019,10,26,20,24.2,16.6,33.6,11.1,215,0,17.5,0,65.5,0,121.5,0,35,0,73,1009.9
19-Nov,2019,11,26,12.9,17.9,8.9,23.4,3.8,25.5,0,6.5,0,13.5,0,181.1,0,59,0,68,1014
19-Dec,2019,12,26,8.3,12.3,4.7,16.1,1.9,47.5,0,4.5,0,12.5,0,117.3,0,39,0,73,1015.8
20-Jan,2020,1,26,7.5,11.2,4.3,16.8,1.2,64,0,10.5,0,27,0,95.4,0,31,0,70,1012.7
20-Feb,2020,2,26,6.9,11.3,3.3,21.3,-1.1,55.5,0,6,0,20,0,124.9,0,40,0,68,1015.7
20-Mar,2020,3,26,10.6,15.8,6.2,23.1,0.1,92,0,4.5,0,19.5,0,177.2,0,48,0,62,1009.7
20-Apr,2020,4,26,12.9,18.3,8.1,26.7,4.3,121.5,0,9,0,28,0,198.1,0,51,0,56,1008.6
20-May,2020,5,26,20.6,26.2,15.9,30.4,11,114,0,14,0,42,0,170.1,0,39,0,61,1005.4
20-Jun,2020,6,26,24.7,29.4,20.8,33.2,15.7,250.5,0,19.5,0,63,0,151.9,0,35,0,67,1001.6
20-Jul,2020,7,26,25.7,29.5,23,36.1,20.1,552,0,43.5,0,91.5,0,63.6,0,14,0,79,1002.8
20-Aug,2020,8,26,30.5,36.2,26.4,38.8,23.5,45.5,0,12.5,0,12.5,0,236.6,0,57,0,63,1005.2
20-Sep,2020,9,26,25.5,30.1,22.1,36.6,17,114,0,13.5,0,60,0,130.7,0,35,0,69,1005.4
20-Oct,2020,10,26,17.9,22.7,14.2,28.6,8.1,171.5,0,6.5,0,35.5,0,164,0,47,0,69,1011.4
20-Nov,2020,11,26,13.6,18.6,9.4,26.9,5.7,41,0,7.5,0,26,0,165.7,0,54,0,69,1015.9
20-Dec,2020,12,26,7.2,11.9,3.6,16.5,0.2,23,0,5.5,0,15,0,173.7,0,57,0,69,1014.1
21-Jan,2021,1,26,5.1,9.5,1.6,16.3,-4.1,55.5,0,3.5,0,23.5,0,157.2,0,51,0,66,1014.1
21-Feb,2021,2,26,7.7,12.8,3.2,21.2,-2.2,54,0,6,0,31,0,160.5,0,53,0,61,1012.4
21-Mar,2021,3,26,11.6,17.5,6.6,23.5,2,143,0,16.5,0,51.5,0,194.1,0,53,0,64,1012.6
21-Apr,2021,4,26,14.8,20.7,9.7,27.1,3.5,202,0,10,0,78.5,0,209.4,0,54,0,59,1012.3
21-May,2021,5,26,,,,,,,0,,0,,0,,0,,0,,
