É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 13:57:40,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{
îNåé,,,,ïΩãœãCâ∑(Åé),ì˙ç≈çÇãCâ∑ÇÃïΩãœ(Åé),ì˙ç≈í·ãCâ∑ÇÃïΩãœ(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆ó¶(Åì),ì˙è∆ó¶(Åì),ïΩãœéºìx(Åì),ïΩãœåªínãCà≥(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
14-Jan,2014,1,43,6.3,12,1.1,17.1,-2.4,36,0,8.5,0,18,0,172.1,0,54,0,69,1018.3
14-Feb,2014,2,43,7.2,11.9,3,20.7,-1,120.5,0,12.5,0,18,0,125,0,41,0,70,1015.9
14-Mar,2014,3,43,11.3,16.4,5.9,24.7,-1.4,130,0,24.5,0,47.5,0,187.6,0,51,0,67,1014.5
14-Apr,2014,4,43,15.7,21,10.4,27.2,2.7,69,0,6,0,25,0,170.5,0,44,0,64,1011.5
14-May,2014,5,43,20.1,26.3,14.6,33.9,7.3,135,0,21,0,50,0,250.3,0,59,0,64,1007.5
14-Jun,2014,6,43,22.8,26.9,19.7,31,16.4,258.5,0,15.5,0,61.5,0,105.5,0,25,0,76,1001.3
14-Jul,2014,7,43,26.8,31,23.6,36.7,20.2,358,0,40.5,0,99.5,0,148.2,0,34,0,78,1004
14-Aug,2014,8,43,26.8,30.7,24.2,34.5,21.8,213,0,56,0,68,0,104,0,25,0,81,1003.4
14-Sep,2014,9,43,24.3,28.9,20.4,33.3,15.8,107,0,30,0,40,0,149.8,0,40,0,72,1006.9
14-Oct,2014,10,43,19.7,25,15,29.6,8.6,142,0,19,0,45.5,0,201.2,0,57,0,69,1011.5
14-Nov,2014,11,43,13.8,18.9,9.1,23.2,3.8,62.5,0,12.5,0,23.5,0,141.6,0,45,0,74,1015
14-Dec,2014,12,43,6.2,10.8,2,18.4,-3.7,62.5,0,4,0,18,0,127.9,0,41,0,70,1017.6
15-Jan,2015,1,43,6.6,11.4,2.1,15.4,-2.8,99.5,0,9,0,37.5,0,143,0,45,0,71,1017
15-Feb,2015,2,43,6.8,11.5,2.6,14.6,-1.6,33.5,0,2.5,0,17.5,0,120.5,0,39,0,68,1016
15-Mar,2015,3,43,10.9,16.1,6.1,24.7,-0.7,186,0,15.5,0,59,0,182.1,0,49,0,66,1015.3
15-Apr,2015,4,43,17.1,22.4,12.5,28.2,8.3,150.5,0,14,0,41.5,0,144,0,37,0,71,1010.6
15-May,2015,5,43,21.2,26.8,16.2,31.7,12.1,131,0,13.5,0,35,0,199.5,0,47,0,70,1005.6
15-Jun,2015,6,43,22.4,25.9,19.5,30.6,15.8,628,0,31,0,158.5,0,82.6,0,19,0,87,1002.8
15-Jul,2015,7,43,26.2,30.7,23,35.9,18.7,375.5,0,36.5,0,135.5,0,134.6,0,31,0,82,1003.5
15-Aug,2015,8,43,27.4,31.9,24,37.1,21.6,246,0,21.5,0,61,0,186.3,0,45,0,77,1003.7
15-Sep,2015,9,43,23.9,28.9,20.1,32.4,16.1,149.5,0,24,0,64.5,0,180.5,0,49,0,72,1006.9
15-Oct,2015,10,43,18.7,24.9,13.2,28.9,8.9,64.5,0,13,0,45.5,0,236.8,0,67,0,65,1012.8
15-Nov,2015,11,43,16,20.6,12.3,26.5,4.3,136.5,0,18.5,0,51.5,0,110.1,0,35,0,78,1016.3
15-Dec,2015,12,43,9.5,14.1,5.1,18.4,-2.2,91.5,0,12,0,32,0,147.3,0,48,0,75,1018.3
16-Jan,2016,1,43,6.1,10.1,2.2,17.6,-6.5,70.5,0,7,0,40.5,0,82.8,0,26,0,76,1017.4
16-Feb,2016,2,43,7.2,12.4,2.7,21,-1.5,74,0,9,0,38.5,0,131.2,0,41,0,68,1018.6
16-Mar,2016,3,43,11.4,17.2,6.2,24.5,-2.1,60,0,11,0,33,0,202.4,0,55,0,67,1015.5
16-Apr,2016,4,43,17.2,22.1,12.8,27.2,7.1,178.5,0,17,0,75.5,0,137.3,0,35,0,74,1008.9
16-May,2016,5,43,21.4,26.9,16.3,31.9,8.8,273,0,17,0,53,0,202.6,0,47,0,70,1007.8
16-Jun,2016,6,43,23.7,27.7,20.6,32.6,15.9,643.5,0,94,0,174.5,0,117,0,27,0,81,1004.1
16-Jul,2016,7,43,28.2,32.8,24.8,36,22.3,389.5,0,35,0,103.5,0,218.4,0,50,0,78,1005.2
16-Aug,2016,8,43,29.5,35.1,25.4,38.1,19.2,62,0,18,0,26.5,0,269.8,0,65,0,69,1000.3
16-Sep,2016,9,43,25.9,30.3,22.6,34.2,18.6,336.5,0,29.5,0,46,0,132.5,0,36,0,79,1006.5
16-Oct,2016,10,43,21.9,26.5,18.3,33.3,12.2,201,0,22,0,72,0,124.4,0,35,0,77,1011.6
16-Nov,2016,11,43,13.9,18.9,9.3,23.8,1.9,109.5,0,14.5,0,29.5,0,168.4,0,54,0,78,1015.7
16-Dec,2016,12,43,9.2,14.5,4.6,21.1,-1.4,106,0,10,0,31,0,145.5,0,47,0,77,1018
17-Jan,2017,1,43,6.2,11.7,1.3,20.3,-4.5,44,0,5.5,0,29.5,0,155.7,0,49,0,71,1017.9
17-Feb,2017,2,43,6.9,12.5,1.8,19.7,-2.4,69.5,0,12.5,0,29.5,0,162.5,0,53,0,66,1016.8
17-Mar,2017,3,43,9.8,14.7,5.1,21.2,1.3,70,0,5.5,0,21,0,168.6,0,46,0,67,1013.4
17-Apr,2017,4,43,16.5,21.9,11.6,28.3,2.8,202.5,0,12.5,0,51,0,186.7,0,48,0,70,1009.2
17-May,2017,5,43,20.7,26.3,15.7,30.8,11.4,150,0,17,0,85.5,0,239.5,0,56,0,68,1008.6
17-Jun,2017,6,43,23.3,28.2,19.2,31.7,15.4,202.5,0,18.5,0,60,0,155,0,36,0,70,1004.2
17-Jul,2017,7,43,28.5,32.8,25.3,36.8,21.4,408.5,0,41.5,0,139.5,0,202.1,0,46,0,79,1005.5
17-Aug,2017,8,43,29.1,33.5,25.5,37.4,22.4,158,0,28.5,0,53.5,0,229.3,0,56,0,73,1002.5
17-Sep,2017,9,43,24,28.3,20.5,32.6,15.1,241,0,28,0,70.5,0,135.6,0,37,0,77,1006.6
17-Oct,2017,10,43,19.9,24.2,16.3,30.6,7.3,196,0,7.5,0,50.5,0,133.7,0,38,0,75,1011.9
17-Nov,2017,11,43,12.4,17.4,7.9,23.8,0.4,60.5,0,9.5,0,13,0,156.2,0,50,0,76,1016.6
17-Dec,2017,12,43,5.9,10.8,1,17.2,-2.5,16,0,7.5,0,9.5,0,144.4,0,47,0,68,1019
18-Jan,2018,1,43,4.6,9.3,0.5,18.9,-5.2,82,0,6,0,27,0,142.8,0,45,0,73,1016.9
18-Feb,2018,2,43,5.5,10.3,0.8,17.9,-4.7,51.5,0,7.5,0,16,0,136.8,0,45,0,70,1017
18-Mar,2018,3,43,12.3,18.3,6.5,26.3,0.8,131,0,12,0,29.5,0,202,0,55,0,69,1013.8
18-Apr,2018,4,43,17.4,22.9,11.8,27.8,4.2,193.5,0,24.5,0,121.5,0,207.7,0,54,0,66,1011.5
18-May,2018,5,43,21,25.9,16.6,31.5,8.3,191,0,11.5,0,41.5,0,187.4,0,44,0,70,1007.4
18-Jun,2018,6,43,24.2,28.7,20.4,33,15.7,373,0,32,0,103.5,0,152,0,36,0,76,1003.5
18-Jul,2018,7,43,29,33.7,25.5,37.3,22.1,290,0,22.5,0,133,0,186.6,0,43,0,74,1003.4
18-Aug,2018,8,43,30.1,35.6,26,38.1,23.6,36,0,10.5,0,12,0,260.5,0,63,0,67,1002.9
18-Sep,2018,9,43,24.8,28.8,21.6,34.3,17.3,426,0,56.5,0,146,0,129.3,0,35,0,77,1006.8
18-Oct,2018,10,43,18.5,23.9,13.9,30.8,10,52.5,0,8.5,0,21,0,182,0,52,0,70,1012.4
18-Nov,2018,11,43,13.4,19,8.3,24.5,0.7,58,0,7.5,0,11,0,189.4,0,60,0,75,1016.8
18-Dec,2018,12,43,9,13.1,5.2,24,-3.4,66,0,4,0,19.5,0,113.4,0,37,0,76,1018.9
19-Jan,2019,1,43,6.7,11.6,2.1,15.1,-2.6,23.5,0,5,0,10,0,149.3,0,47,0,72,1018.5
19-Feb,2019,2,43,8.8,13.4,4.5,17.6,-1.1,108,0,12.5,0,30,0,113.2,0,37,0,73,1016.4
19-Mar,2019,3,43,11.5,16.4,6.9,21.7,1.2,143,0,11.5,0,31.5,0,185.4,0,50,0,68,1012
19-Apr,2019,4,43,16,21.5,11,27.8,2.9,105.5,0,17.5,0,25.5,0,205.7,0,53,0,67,1009.8
19-May,2019,5,43,21.1,27,15.6,32.4,9.2,59.5,0,14,0,23,0,229.3,0,54,0,61,1007.8
19-Jun,2019,6,43,23.8,28.4,19.9,32.5,16.1,384,0,42,0,167.5,0,173.8,0,41,0,74,1002.3
19-Jul,2019,7,43,26.6,30.5,23.5,35.9,19.8,469,0,55.5,0,126.5,0,148.7,0,34,0,81,1002.9
19-Aug,2019,8,43,27.7,32,24.3,37.8,16.9,433.5,0,33,0,95.5,0,148.3,0,36,0,77,1002.6
19-Sep,2019,9,43,26.5,31.7,22.7,34.9,16.7,100,0,33,0,35.5,0,204.4,0,55,0,74,1007.9
19-Oct,2019,10,43,20.9,26.1,16.7,32.5,10.9,61,0,10.5,0,21.5,0,183.3,0,52,0,73,1011.1
19-Nov,2019,11,43,13.9,19.8,8.7,24.9,2.8,48.5,0,8.5,0,14,0,196.7,0,63,0,72,1015.8
19-Dec,2019,12,43,9.3,14.1,4.8,22,-0.5,91,0,7.5,0,22,0,131.9,0,43,0,75,1018.4
20-Jan,2020,1,43,8.8,13.4,4.7,20.3,-2.1,77.5,0,12.5,0,20,0,108.1,0,34,0,75,1015.6
20-Feb,2020,2,43,8.9,14.2,3.9,21.6,-2.2,135.5,0,7.5,0,30,0,156.5,0,49,0,72,1018.6
20-Mar,2020,3,43,12.2,17.2,7.2,22,0.2,104.5,0,6,0,22.5,0,170.1,0,46,0,70,1012.1
20-Apr,2020,4,43,14.1,19.5,8.7,25,3.1,64,0,6,0,22,0,230.7,0,59,0,62,1012.1
20-May,2020,5,43,21.3,26.7,16.7,31.5,11.5,230,0,27.5,0,106,0,208.6,0,49,0,69,1006.3
20-Jun,2020,6,43,24.9,29.4,21.4,33.8,17.6,516,0,32,0,135.5,0,143.4,0,34,0,79,1002.9
20-Jul,2020,7,43,25.8,29.6,23,35.4,19.1,847.5,0,72,0,167.5,0,108.5,0,25,0,85,1004
20-Aug,2020,8,43,29.7,35.2,25.6,37.8,22.8,103.5,0,58.5,0,60,0,263.2,0,64,0,72,1006.5
20-Sep,2020,9,43,24.7,29.5,20.8,36.1,13.3,211,0,25.5,0,64.5,0,148.8,0,40,0,74,1005.4
20-Oct,2020,10,43,19.3,25.1,14.4,29.9,7.6,79,0,8,0,38,0,233.3,0,66,0,66,1012.3
20-Nov,2020,11,43,14.5,19.9,9.6,26.6,3.9,77.5,0,16.5,0,25.5,0,170.1,0,54,0,73,1018
20-Dec,2020,12,43,6.9,12.6,1.8,17.7,-2.7,21.5,0,4,0,11,0,189.3,0,61,0,70,1018.8
21-Jan,2021,1,43,6.3,11.3,1.8,21,-4.8,25.5,0,4.5,0,10,0,162.4,0,51,0,71,1017.7
21-Feb,2021,2,43,9.7,15.3,4.5,24.2,-1.7,67,0,13,0,33,0,161.1,0,53,0,67,1015.4
21-Mar,2021,3,43,13.9,19.7,8.6,25.9,2.4,96,0,9.5,0,30.5,0,177,0,48,0,71,1013.4
21-Apr,2021,4,43,17.1,23.2,11.6,29.3,5.4,112,0,11,0,50,0,224.1,0,58,0,59,1012.6
21-May,2021,5,43,,,,,,,0,,0,,0,,0,,0,,
