ダウンロードした時刻：2021/05/19 13:58:07,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分
年月,,,,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
14-Jan,2014,1,44,6.7,11.4,2,19.2,-1.5,23.5,0,7.5,0,18,0,184.9,0,59,0,64,1021
14-Feb,2014,2,44,6.5,10,3.2,16.2,0,174.5,0,6.5,0,27,0,109.8,0,36,0,72,1020.1
14-Mar,2014,3,44,10.6,15.4,6.1,22.8,-1,66,0,6.5,0,11.5,0,199.9,0,54,0,66,1017.5
14-Apr,2014,4,44,14,18.8,9.3,24.1,1.4,113,0,12,0,50.5,0,167,0,43,0,67,1015.2
14-May,2014,5,44,19.5,24.9,14.4,28.6,7.6,85,0,7,0,40.5,0,260.7,0,61,0,64,1010.6
14-Jun,2014,6,44,22,25.6,19.3,29.6,16.8,358.5,0,17,0,129.5,0,100,0,23,0,79,1005
14-Jul,2014,7,44,26.5,30.3,23.3,35.5,19.3,130.5,0,11,0,53,0,170.7,0,39,0,76,1007
14-Aug,2014,8,44,26.4,30.1,23.9,34.5,20.7,294,0,25,0,72,0,98.4,0,24,0,82,1006.7
14-Sep,2014,9,44,23.2,27.2,20.1,32.4,15.6,58.5,0,10.5,0,14.5,0,118.6,0,32,0,75,1010.8
14-Oct,2014,10,44,19.1,23.2,15.4,29.1,9.4,223,0,19,0,133,0,164.7,0,47,0,72,1015.5
14-Nov,2014,11,44,14.1,18.3,10,23,5.9,55,0,8.5,0,25,0,134.4,0,43,0,71,1018.2
14-Dec,2014,12,44,7.3,11.3,3.5,17,-0.4,31.5,0,5,0,21.5,0,131.6,0,43,0,61,1019.9
15-Jan,2015,1,44,7.2,11.1,3.6,17.1,-1.8,100.5,0,14.5,0,41,0,140.9,0,45,0,64,1019.8
15-Feb,2015,2,44,7.1,11.3,3.4,19.5,0,37,0,3,0,16.5,0,140.8,0,46,0,64,1018.7
15-Mar,2015,3,44,10,14.1,6,21.9,-0.6,110.5,0,8,0,37,0,178.1,0,48,0,66,1018.4
15-Apr,2015,4,44,15.6,19.9,11.7,24.9,7.1,150,0,17,0,45,0,132.3,0,34,0,72,1014.2
15-May,2015,5,44,20.1,25,15.5,30.4,11.6,118.5,0,12,0,28,0,216.9,0,51,0,68,1008.9
15-Jun,2015,6,44,21.6,25.1,19,32.4,14.6,385.5,0,18.5,0,87,0,88.1,0,21,0,81,1006.2
15-Jul,2015,7,44,25.5,29.3,22.9,35.3,18.6,173,0,16,0,33,0,133.4,0,31,0,81,1006.7
15-Aug,2015,8,44,27.2,31.3,24.1,35.5,21,144,0,22,0,46,0,191.8,0,46,0,75,1006.7
15-Sep,2015,9,44,22.9,26.5,19.8,30.2,16.1,180,0,22,0,54.5,0,122.1,0,33,0,76,1010.6
15-Oct,2015,10,44,18.2,23.4,13.2,30.3,9.7,28,0,12,0,25.5,0,232.4,0,66,0,66,1016.1
15-Nov,2015,11,44,15.8,19.2,12.7,28,4.3,112,0,9.5,0,34,0,89.9,0,29,0,76,1019.7
15-Dec,2015,12,44,10.4,14.4,6.7,18.8,0.3,138.5,0,10.5,0,90.5,0,155,0,50,0,68,1021.1
16-Jan,2016,1,44,6.8,10.9,2.9,19.2,-3.6,69.5,0,7,0,32.5,0,125.9,0,40,0,66,1020
16-Feb,2016,2,44,7.4,11.7,2.8,19.5,-1.1,59,0,10.5,0,36.5,0,142.5,0,45,0,65,1021.1
16-Mar,2016,3,44,11,15.6,6.8,22.2,0.2,64.5,0,8,0,32.5,0,191.3,0,52,0,65,1018.8
16-Apr,2016,4,44,16.5,21.1,12.6,26.8,8.1,135,0,11,0,37.5,0,154.7,0,40,0,73,1012.2
16-May,2016,5,44,20.2,25,15.6,31.1,9.1,149,0,10.5,0,42,0,219.1,0,51,0,70,1011.2
16-Jun,2016,6,44,22.8,26.4,20,31.3,14.9,579,0,48.5,0,118,0,108.8,0,25,0,82,1007.2
16-Jul,2016,7,44,27.3,31.5,24.2,34.9,21,223,0,38,0,85,0,205.7,0,47,0,78,1008.1
16-Aug,2016,8,44,29,33.9,25.3,36.5,18.6,2,0,1,0,1,0,289.1,0,70,0,67,1003.4
16-Sep,2016,9,44,25,28.3,22.5,33,19.7,574.5,0,46.5,0,177.5,0,92.4,0,25,0,83,1010.2
16-Oct,2016,10,44,21.1,24.3,18.4,31.3,12.3,200,0,33,0,67,0,90.9,0,26,0,77,1015.5
16-Nov,2016,11,44,14.1,18.1,10.1,23.2,3.9,88.5,0,12.5,0,22.5,0,143.9,0,46,0,73,1018.9
16-Dec,2016,12,44,10.2,14.7,5.9,23.8,0.1,55,0,5.5,0,23.5,0,149.1,0,48,0,69,1020.6
17-Jan,2017,1,44,7,11.4,2.8,17,-2.4,55.5,0,6.5,0,49.5,0,170.1,0,54,0,63,1020.4
17-Feb,2017,2,44,7.5,12.2,3,20.6,-1,24.5,0,6,0,15.5,0,158.7,0,52,0,60,1019
17-Mar,2017,3,44,9.4,13.9,5.5,17.9,1.9,82,0,6.5,0,34,0,186.7,0,51,0,63,1016.5
17-Apr,2017,4,44,15.7,20.6,11.4,25.7,3.3,144.5,0,16,0,33,0,192.2,0,49,0,67,1012.1
17-May,2017,5,44,20.2,25.2,15.6,29.2,12.1,112,0,15.5,0,63.5,0,235.9,0,55,0,66,1011.5
17-Jun,2017,6,44,22.5,26.8,18.6,30.2,14.8,160,0,25.5,0,49.5,0,171.9,0,40,0,71,1007.5
17-Jul,2017,7,44,28.3,32.7,25.2,36.2,21.9,203,0,29,0,52.5,0,207.3,0,48,0,79,1008
17-Aug,2017,8,44,28.7,32.9,25.3,37,22.6,82.5,0,10,0,19,0,214,0,52,0,74,1005.6
17-Sep,2017,9,44,23.5,27.2,20.2,32.2,15.3,389.5,0,60,0,281,0,135.3,0,36,0,77,1010.1
17-Oct,2017,10,44,19.2,22.1,16.6,27.7,8.4,620.5,0,26,0,98.5,0,97.1,0,28,0,81,1016.1
17-Nov,2017,11,44,12.7,16.9,8.7,21.9,2.6,33,0,4.5,0,14,0,143.1,0,46,0,73,1019.6
17-Dec,2017,12,44,7.1,11.3,2.9,16.6,0.1,3,0,1.5,0,1.5,0,157.7,0,51,0,61,1021.4
18-Jan,2018,1,44,5.5,9.5,1.7,20.4,-2.7,42,0,7.5,0,23.5,0,156.2,0,50,0,65,1019.4
18-Feb,2018,2,44,5.6,10,1.5,15.8,-3.5,44,0,8,0,16,0,160.7,0,53,0,66,1019.9
18-Mar,2018,3,44,10.9,15.8,6.1,23.3,1.5,150,0,12,0,52.5,0,208.5,0,56,0,71,1017.3
18-Apr,2018,4,44,16.4,21.9,11.2,27.2,5.4,54.5,0,13,0,40,0,225.9,0,58,0,66,1014.4
18-May,2018,5,44,19.5,23.8,15.9,31,9.5,118,0,10.5,0,47,0,178,0,42,0,74,1010.8
18-Jun,2018,6,44,22.8,26.8,19.6,34.8,15.4,288,0,30.5,0,93.5,0,160.1,0,37,0,79,1007.1
18-Jul,2018,7,44,28.3,32.5,24.9,35.7,21.9,286,0,23.5,0,124,0,231.7,0,53,0,77,1007.1
18-Aug,2018,8,44,29.1,33.9,25.4,37.3,21.3,38,0,7.5,0,9,0,257.1,0,62,0,72,1006.6
18-Sep,2018,9,44,24.1,27.6,21.4,33.9,17.7,446.5,0,41,0,236.5,0,94,0,25,0,81,1010.3
18-Oct,2018,10,44,18.9,23.3,14.9,31.5,10,92.5,0,8.5,0,35.5,0,174.3,0,50,0,69,1015.4
18-Nov,2018,11,44,13.8,18.5,9.4,24,2.3,41.5,0,4.5,0,16,0,179.3,0,57,0,71,1020
18-Dec,2018,12,44,9.8,13.4,6.4,25,1,62,0,4.5,0,24,0,117.5,0,38,0,70,1021.8
19-Jan,2019,1,44,7.7,12.3,3.3,16.4,-0.1,35.5,0,6.5,0,19.5,0,159,0,50,0,65,1020.8
19-Feb,2019,2,44,8.7,12.8,4.8,20.9,-0.4,87,0,7,0,19.5,0,132.9,0,43,0,70,1019.7
19-Mar,2019,3,44,11.5,15.9,7.2,26.7,1.7,189,0,10,0,70,0,192.1,0,52,0,65,1014.7
19-Apr,2019,4,44,14.8,19.2,10.6,25.7,3.7,84,0,6.5,0,23,0,202.9,0,52,0,69,1012.9
19-May,2019,5,44,20,25.2,15.3,32.2,7.9,69,0,18,0,26.5,0,239.1,0,56,0,65,1011.1
19-Jun,2019,6,44,22.9,26.9,19.7,30.8,16.6,236.5,0,31,0,40,0,182,0,43,0,77,1005.6
19-Jul,2019,7,44,25.7,29.3,23.1,34.6,20,353,0,21.5,0,60.5,0,124.1,0,28,0,85,1006.1
19-Aug,2019,8,44,27.2,31.1,24.1,35.9,18.8,382,0,26.5,0,93,0,145,0,35,0,81,1005.8
19-Sep,2019,9,44,25.5,29.4,22.3,33.3,16.5,98,0,9.5,0,25.5,0,145.8,0,39,0,79,1012
19-Oct,2019,10,44,20.8,24.7,17.3,32.2,11.8,107.5,0,11,0,69.5,0,170.8,0,49,0,74,1014.5
19-Nov,2019,11,44,14.3,19,10,23.9,5,18.5,0,3.5,0,10,0,162.8,0,52,0,70,1019
19-Dec,2019,12,44,9.9,14.2,5.7,19.8,1.8,93,0,9.5,0,28,0,123.6,0,40,0,72,1021.3
20-Jan,2020,1,44,9.1,12.9,5.4,17.9,0.1,95,0,5.5,0,51.5,0,132.4,0,42,0,69,1018.6
20-Feb,2020,2,44,8.7,13.2,4.5,20.2,-0.8,64.5,0,4,0,26.5,0,152.4,0,48,0,69,1021.4
20-Mar,2020,3,44,11.5,16,7.3,21.9,1.4,82,0,9.5,0,22.5,0,180.9,0,49,0,68,1015.1
20-Apr,2020,4,44,14,18.8,9.2,23,3.8,58.5,0,4,0,34,0,240.8,0,62,0,59,1014.6
20-May,2020,5,44,20.2,24.7,16.1,29,11.3,198,0,16,0,80,0,206.8,0,48,0,72,1009.7
20-Jun,2020,6,44,24,28.2,20.6,31.7,16.7,266,0,23,0,77.5,0,162.2,0,38,0,79,1005.8
20-Jul,2020,7,44,25.1,28.7,22.6,34.5,18.9,631,0,67.5,0,252.5,0,111.8,0,26,0,86,1006.8
20-Aug,2020,8,44,29.3,34.2,25.8,36.5,24.7,33,0,12,0,29,0,270.3,0,65,0,74,1009.4
20-Sep,2020,9,44,24.5,28.4,21.4,34.1,14.9,259.5,0,33,0,93,0,138.4,0,37,0,75,1009
20-Oct,2020,10,44,19.1,23.3,15.2,28.1,9.4,107.5,0,10.5,0,75.5,0,197.6,0,56,0,70,1015.9
20-Nov,2020,11,44,14.8,19.4,10.3,27.1,4.6,45,0,6,0,20.5,0,169.3,0,54,0,72,1021.1
20-Dec,2020,12,44,7.9,12.7,3.4,17.9,-1.3,20,0,2.5,0,9.5,0,203.5,0,66,0,64,1021.4
21-Jan,2021,1,44,6.7,10.6,2.8,18,-4.3,28.5,0,4,0,19.5,0,157.5,0,50,0,65,1020.6
21-Feb,2021,2,44,9.3,14.3,4.6,24.8,-1.6,66,0,4,0,34.5,0,178.2,0,58,0,66,1018.3
21-Mar,2021,3,44,12.6,17.2,8.2,23.3,2.3,97.5,0,8,0,38.5,0,163.4,0,44,0,72,1017
21-Apr,2021,4,44,15.5,20.4,10.7,26.6,4.6,93,0,8.5,0,37,0,217.1,0,56,0,64,1016.5
21-May,2021,5,44,,,,,,,0,,0,,0,,0,,0,,
