É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 13:41:28,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{
îNåé,,,,ïΩãœãCâ∑(Åé),ì˙ç≈çÇãCâ∑ÇÃïΩãœ(Åé),ì˙ç≈í·ãCâ∑ÇÃïΩãœ(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆ó¶(Åì),ì˙è∆ó¶(Åì),ïΩãœéºìx(Åì),ïΩãœåªínãCà≥(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
14-Jan,2014,1,9,2.3,8.6,-3.1,14.4,-6,9,0,3,0,7.5,0,237.8,0,77,0,53,1000.6
14-Feb,2014,2,9,2.8,8.5,-2.2,18.4,-7.6,97,0,13,0,67.5,0,188.8,0,63,0,58,1001.6
14-Mar,2014,3,9,7.6,13.2,2.2,22.9,-4.3,113,0,11,0,34,0,221.8,0,60,0,54,997.6
14-Apr,2014,4,9,12.8,19.3,7,25.5,0.2,135.5,0,9.5,0,59.5,0,233.6,0,60,0,54,999.4
14-May,2014,5,9,18.7,24.9,13.3,32.4,6.8,74.5,0,7.5,0,33,0,230.6,0,53,0,64,994.3
14-Jun,2014,6,9,21.9,26.8,18.4,34.2,16,456.5,0,34,0,78,0,133,0,30,0,78,991.5
14-Jul,2014,7,9,25.1,29.8,21.6,35.4,18.8,194.5,0,21.5,0,59.5,0,136,0,31,0,78,993
14-Aug,2014,8,9,26,30.7,22.4,37.3,18.6,145.5,0,23.5,0,45,0,139.3,0,33,0,78,994.2
14-Sep,2014,9,9,21.1,26.2,16.8,30.9,11,164.5,0,49,0,87.5,0,154.1,0,41,0,71,996.8
14-Oct,2014,10,9,16.6,21.6,12.1,28.1,4.2,273.5,0,33,0,101.5,0,157.4,0,45,0,72,1001.4
14-Nov,2014,11,9,11.5,16.2,7.1,22.4,1.3,58.5,0,4.5,0,23.5,0,147,0,48,0,68,1001.3
14-Dec,2014,12,9,3.9,9.1,-0.6,13.8,-5.4,41.5,0,4,0,18.5,0,200.9,0,67,0,62,996.6
15-Jan,2015,1,9,3.2,8.8,-1.6,15,-5,55.5,0,6,0,22.5,0,204.6,0,67,0,58,997.8
15-Feb,2015,2,9,3.7,8.9,-0.7,17.3,-4.8,42,0,5.5,0,14.5,0,185.6,0,61,0,61,998.1
15-Mar,2015,3,9,8.5,14.5,3.1,23.7,-1.1,79,0,7,0,28.5,0,204.8,0,56,0,54,999.7
15-Apr,2015,4,9,13.6,19.3,8.3,30.1,0.6,96,0,4.5,0,19.5,0,153.5,0,39,0,67,1000.1
15-May,2015,5,9,20.2,26.4,14.6,31.2,7.2,90.5,0,11.5,0,26,0,250.5,0,58,0,57,993.6
15-Jun,2015,6,9,21.4,26.1,17.8,31.6,13,153.5,0,11,0,24.5,0,119.7,0,27,0,73,992.5
15-Jul,2015,7,9,25.6,30.3,22.1,36.2,17.9,349,0,33.5,0,141,0,160.1,0,36,0,77,993.5
15-Aug,2015,8,9,25.4,29.7,22.4,36.5,16.8,101.5,0,9.5,0,22,0,120.6,0,29,0,76,993.9
15-Sep,2015,9,9,21.4,25.5,18.4,30.7,12.1,423.5,0,46.5,0,177.5,0,102.9,0,28,0,76,996.6
15-Oct,2015,10,9,16.7,21.8,12.3,29.2,4.5,49.5,0,10,0,21.5,0,204.6,0,59,0,65,999.1
15-Nov,2015,11,9,12.3,16.3,8.7,21.9,2,149.5,0,11.5,0,37.5,0,119,0,39,0,75,1004.7
15-Dec,2015,12,9,7.2,12.4,2.4,19.2,-3.4,61.5,0,10.5,0,52,0,196,0,65,0,61,1002.3
16-Jan,2016,1,9,3.4,9.3,-1.6,15.4,-6.2,40.5,0,4,0,22.5,0,211,0,69,0,60,999.1
16-Feb,2016,2,9,4.7,11,-0.4,21.5,-4.3,34.5,0,5,0,15,0,193.4,0,62,0,61,1001.6
16-Mar,2016,3,9,8.4,14.1,3.5,20.6,-3.8,57,0,7.5,0,18,0,177.5,0,48,0,60,1002
16-Apr,2016,4,9,13.8,19.5,8.9,25.4,2.9,135,0,7.5,0,41,0,157.2,0,40,0,65,997.1
16-May,2016,5,9,19.2,25,14.1,31.7,9.5,88,0,13,0,35,0,193.1,0,44,0,63,997
16-Jun,2016,6,9,21.7,26.3,17.8,32.6,10.4,111,0,6.5,0,35,0,141.9,0,32,0,71,993.3
16-Jul,2016,7,9,24.2,28.8,20.9,33.6,17.9,81,0,10,0,15,0,100,0,22,0,78,994.2
16-Aug,2016,8,9,26.2,31.4,22.8,36.2,19.7,431.5,0,83,0,128,0,144.3,0,34,0,76,989.5
16-Sep,2016,9,9,23.3,27.2,20.4,33.6,14.7,399.5,0,51.5,0,108,0,90.9,0,24,0,81,997.7
16-Oct,2016,10,9,17.1,21.7,13,30.8,6,65,0,6.5,0,41,0,146.8,0,42,0,69,1001.2
16-Nov,2016,11,9,9.5,14.6,4.7,19.7,-1.7,91.5,0,9.5,0,45,0,163.6,0,53,0,71,1002.4
16-Dec,2016,12,9,6,12.1,0.5,17.8,-4.4,57,0,7,0,24.5,0,216.6,0,72,0,63,1000.9
17-Jan,2017,1,9,3.1,9.4,-1.9,17.2,-6.4,18,0,3,0,8,0,223.4,0,73,0,57,997.9
17-Feb,2017,2,9,4.3,10.8,-1.2,20.3,-5.3,7.5,0,1,0,3.5,0,222.3,0,74,0,48,996.8
17-Mar,2017,3,9,6.6,12.3,1.3,18.2,-3.1,61,0,6,0,30,0,193.3,0,52,0,56,997.5
17-Apr,2017,4,9,13.2,19.7,7.7,27.7,2,111.5,0,8.5,0,34.5,0,208.6,0,53,0,60,996.1
17-May,2017,5,9,19.1,24.4,14.2,32.3,6.9,83.5,0,11,0,44.5,0,190.1,0,44,0,67,996.1
17-Jun,2017,6,9,20.9,26.1,16.7,29.9,11.2,127.5,0,22.5,0,75,0,153.5,0,35,0,69,992.4
17-Jul,2017,7,9,26.4,31.2,22.9,34.6,20.1,188.5,0,39,0,72,0,132.7,0,30,0,78,993.1
17-Aug,2017,8,9,25.1,29.2,22.2,36.1,19.1,210,0,30,0,53,0,54,0,13,0,83,992
17-Sep,2017,9,9,21.9,26.8,18,33.5,12.7,112,0,7.5,0,24,0,148.9,0,40,0,77,995.7
17-Oct,2017,10,9,15.7,19.8,12.3,28.1,3.6,343.5,0,30.5,0,95.5,0,101.7,0,29,0,83,1002.2
17-Nov,2017,11,9,9.6,15.5,4.3,22.1,-0.6,34,0,3.5,0,18.5,0,181,0,59,0,72,1000.8
17-Dec,2017,12,9,3.8,10.1,-1.3,14,-4.7,10.5,0,2,0,5.5,0,225.9,0,75,0,68,999
18-Jan,2018,1,9,2,7.9,-2.8,14,-8,31.5,0,4,0,15.5,0,227.4,0,74,0,62,997
18-Feb,2018,2,9,3.1,9.3,-1.9,15.3,-5.5,6,0,1,0,2.5,0,196.1,0,65,0,59,999.5
18-Mar,2018,3,9,9.7,15.7,3.8,24.9,-1,145.5,0,12,0,42.5,0,211.3,0,57,0,62,1000.2
18-Apr,2018,4,9,15.3,21.6,9.8,29.9,2.4,79,0,9,0,42,0,202.7,0,52,0,67,997.7
18-May,2018,5,9,18.8,24.6,13.5,30.2,5.8,139,0,8,0,30,0,206.6,0,47,0,70,995.1
18-Jun,2018,6,9,21.9,26.7,17.9,34.7,13.9,103.5,0,10,0,39.5,0,169,0,39,0,78,993.3
18-Jul,2018,7,9,27.6,32.8,23.7,36.9,18.3,166,0,43,0,53,0,172.7,0,39,0,78,994.6
18-Aug,2018,8,9,26.9,32.4,22.9,36.4,15,273.5,0,33,0,67,0,182.6,0,44,0,79,993.1
18-Sep,2018,9,9,21.9,26.5,18.7,32.7,11.7,210.5,0,15,0,25.5,0,77.8,0,21,0,86,997.6
18-Oct,2018,10,9,17.7,22.6,13.7,33.5,6.5,69.5,0,20.5,0,30,0,149.8,0,43,0,75,999.6
18-Nov,2018,11,9,12.4,17.4,8,23.8,2.3,17,0,5,0,13,0,178.1,0,58,0,72,1003.3
18-Dec,2018,12,9,5.5,11.2,0.7,20.5,-4.7,16,0,3.5,0,8.5,0,182.2,0,61,0,69,1001.8
19-Jan,2019,1,9,3,9.6,-2.8,14.3,-5.3,4,0,1.5,0,4,0,247.6,0,81,0,55,999.1
19-Feb,2019,2,9,4.9,11,-0.3,18.8,-4.3,28.5,0,4.5,0,13.5,0,177.2,0,59,0,59,1000.9
19-Mar,2019,3,9,8.6,14.5,3,24.1,-1.3,83,0,7.5,0,32.5,0,203.8,0,55,0,60,996.2
19-Apr,2019,4,9,12.1,18.3,6.8,26.5,-0.4,117.5,0,4.5,0,38,0,205.7,0,52,0,62,996.6
19-May,2019,5,9,19.3,25.5,13.5,34.4,4.3,158,0,20.5,0,116,0,226,0,52,0,62,996.8
19-Jun,2019,6,9,20.9,25.6,17.2,31.5,14.5,288.5,0,27.5,0,42,0,113.6,0,26,0,81,991.7
19-Jul,2019,7,9,23.7,27.7,21,35.6,16,186,0,26,0,44,0,54.3,0,12,0,87,993.8
19-Aug,2019,8,9,27.4,32.4,24.2,36.4,20.3,209.5,0,54,0,72.5,0,160.9,0,38,0,82,993.1
19-Sep,2019,9,9,23.9,28.8,20.5,35.5,15.9,156,0,48,0,52.5,0,125,0,34,0,78,999.4
19-Oct,2019,10,9,18.3,22.3,14.7,30.1,10.1,520.5,0,52.5,0,325.5,0,118.9,0,34,0,81,1000.2
19-Nov,2019,11,9,11,16.3,6.2,22,-1,91.5,0,6.5,0,40.5,0,176.8,0,58,0,72,1001.8
19-Dec,2019,12,9,6,11.4,1.2,17.7,-2.7,24.5,0,2.5,0,6,0,138.3,0,46,0,73,1002.8
20-Jan,2020,1,9,5,10.3,0.3,17.7,-3.2,73,0,13.5,0,48.5,0,170.3,0,55,0,69,999.8
20-Feb,2020,2,9,5.8,11.7,0.3,18.1,-7.1,23.5,0,4,0,16.5,0,205.1,0,66,0,61,1001.6
20-Mar,2020,3,9,9.1,14.9,3.6,24,-1.5,99.5,0,8.5,0,38.5,0,205.9,0,56,0,64,997.1
20-Apr,2020,4,9,11.4,17.5,5.8,24.2,1.3,170.5,0,16.5,0,91.5,0,225.4,0,58,0,66,996
20-May,2020,5,9,18.7,24.2,14,29.9,7.6,136,0,19.5,0,45.5,0,178.6,0,41,0,72,995
20-Jun,2020,6,9,22.5,27.3,18.7,33.1,15.7,326.5,0,34.5,0,72.5,0,131.2,0,30,0,81,991.6
20-Jul,2020,7,9,23.3,26.6,20.7,31.8,16.9,237.5,0,22.5,0,44,0,38.6,0,9,0,91,993.1
20-Aug,2020,8,9,28.2,33.6,24.1,37.5,20.9,42.5,0,12,0,12,0,198.1,0,47,0,77,995.4
20-Sep,2020,9,9,23.5,28,20.5,34.8,14,108.5,0,20.5,0,26.5,0,104.8,0,28,0,81,996.6
20-Oct,2020,10,9,16.1,20.7,12.4,26.1,4.9,125,0,5,0,28.5,0,119.7,0,34,0,77,1001.1
20-Nov,2020,11,9,11.5,17.2,6.4,22,0.9,11,0,4.5,0,6.5,0,184.6,0,60,0,72,1003.5
20-Dec,2020,12,9,5,11,0.2,15.7,-5,0,0,0,0,0,0,204.9,0,68,0,68,999.7
21-Jan,2021,1,9,2.8,8.7,-2.2,17.3,-7.2,19.5,0,2,0,9,0,187.8,0,61,0,64,999.9
21-Feb,2021,2,9,5.5,12.6,-0.7,22.7,-4.1,38.5,0,11,0,38.5,0,241.2,0,80,0,52,997.6
21-Mar,2021,3,9,10.6,16.6,5.1,23.8,-0.3,176.5,0,12,0,50.5,0,198.2,0,54,0,63,1000.6
21-Apr,2021,4,9,13.5,19.6,7.9,25.4,2,100.5,0,17,0,40,0,218.4,0,56,0,59,1001
21-May,2021,5,9,,,,,,,0,,0,,0,,0,,0,,
