ダウンロードした時刻：2021/05/19 13:42:53,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉
年月,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
Jan-14,6.2,10.4,2,15.6,-1,44,0,7,0,18,0,194.4,0,63,0,48,1017.2
Feb-14,5.7,9.9,2.5,20.3,-1.6,148.5,0,11.5,0,58.5,0,118.7,0,39,0,55,1017.9
Mar-14,10,13.9,6.3,20.5,0.9,106,0,8,0,30.5,0,192.5,0,52,0,56,1014.1
Apr-14,14.3,18.6,10.5,23.7,5.4,101,0,13.5,0,33.5,0,211.9,0,54,0,59,1015.5
May-14,19.6,24.2,15.8,31.7,10.5,104.5,0,11,0,44,0,238,0,55,0,65,1010.3
Jun-14,22.7,26.5,20.1,31.5,17.8,303.5,0,24,0,112.5,0,146.5,0,34,0,76,1006.6
Jul-14,26.1,30.1,23.1,35,20,90.5,0,52.5,0,56,0,189.7,0,43,0,75,1008.3
Aug-14,27.1,30.8,24.3,34.1,19,71.5,0,11,0,23.5,0,196.7,0,47,0,75,1009.6
Sep-14,22.6,26.7,19.6,31.1,15.9,60.5,0,15,0,29.5,0,152.7,0,41,0,69,1012.1
Oct-14,18.8,22.8,15.4,30.9,10.7,285,0,23,0,102.5,0,135.8,0,39,0,68,1016.9
Nov-14,14.1,17.6,10.7,23.2,6.4,85,0,9.5,0,21,0,136,0,44,0,63,1017
Dec-14,7.8,11.5,4.3,17.3,0.7,95.5,0,13,0,32.5,0,200.5,0,66,0,52,1013.2
Jan-15,6.5,10.4,2.9,17.2,0,91.5,0,12,0,35,0,190.1,0,61,0,49,1014.3
Feb-15,6.2,10.1,3,19.9,-0.8,62,0,5.5,0,21,0,166.5,0,55,0,56,1014.5
Mar-15,10.5,14.5,6.8,21.1,1.4,103,0,8.5,0,29,0,188.6,0,51,0,59,1016
Apr-15,14.5,18.5,10.8,24,1.8,118.5,0,7,0,35,0,149.3,0,38,0,71,1016.2
May-15,21,25.9,17.2,31.6,11.7,72.5,0,17.5,0,25.5,0,237.2,0,55,0,64,1009.3
Jun-15,22.2,26.2,19.3,29.8,13.6,161.5,0,40,0,49.5,0,145.8,0,34,0,73,1008
Jul-15,26.3,29.9,23.8,35.4,19.1,255,0,45,0,115.5,0,201.5,0,46,0,78,1009
Aug-15,26.8,30.6,24.5,38.5,19.3,105,0,21,0,33,0,159.1,0,38,0,78,1008.8
Sep-15,23,26.4,20.5,30.2,16.7,403.5,0,24,0,117,0,122.4,0,33,0,77,1011.7
Oct-15,19,22.6,15.7,28.9,10.7,62,0,28.5,0,35.5,0,192.1,0,55,0,64,1014.8
Nov-15,14.7,18.1,11.8,23.6,5.6,129,0,8,0,26,0,124.1,0,40,0,72,1020.4
Dec-15,10.1,13.7,6.7,23.9,1.7,52,0,9,0,22.5,0,157.4,0,52,0,56,1018.5
Jan-16,6.7,10.8,3,15.9,-0.6,80,0,8,0,59,0,194.2,0,63,0,54,1015.5
Feb-16,7.6,11.9,3.7,22.1,0,60,0,9,0,34,0,168.4,0,54,0,57,1018.2
Mar-16,10.3,14.2,6.8,19.9,1.7,140,0,13.5,0,45,0,149.6,0,41,0,62,1018.3
Apr-16,15.7,19.8,12,24.8,5,91,0,12,0,35.5,0,138.9,0,36,0,65,1013.1
May-16,20.1,24.7,16.3,30,12.7,160,0,15,0,50.5,0,215.9,0,50,0,67,1012.9
Jun-16,22.6,26.3,19.8,32.9,14.7,134.5,0,12.5,0,78,0,135.1,0,31,0,74,1008.8
Jul-16,25.4,29.2,22.5,33.9,19.1,94.5,0,23,0,34.5,0,155.6,0,35,0,79,1009.5
Aug-16,27.3,31.2,24.5,37.7,21.2,250.5,0,16.5,0,81,0,168.8,0,40,0,77,1004.4
Sep-16,24.9,28,22.6,32.3,18.3,286,0,55,0,98.5,0,90.3,0,24,0,83,1012.8
Oct-16,19.4,23.1,16.2,32.8,10.5,104,0,18.5,0,26.5,0,132.2,0,38,0,68,1016.9
Nov-16,12.1,15.8,8.7,21.3,0.8,147,0,9,0,47.5,0,123.1,0,40,0,66,1018.3
Dec-16,9.9,14.3,5.6,21.7,1.4,57,0,11,0,31.5,0,184.6,0,61,0,52,1017.3
Jan-17,6.7,10.9,2.8,18.3,-0.7,43,0,5,0,26.5,0,227.8,0,74,0,47,1014.4
Feb-17,7.4,11.5,3.6,18.3,1.1,27,0,17,0,18,0,184.2,0,61,0,45,1013.5
Mar-17,8.8,12.9,5,18.2,1.5,91,0,5.5,0,30,0,188.6,0,51,0,57,1013.7
Apr-17,14.8,19.1,11.2,25.9,4.7,123,0,9.5,0,40.5,0,191.9,0,49,0,63,1012.3
May-17,19.9,24,16.7,28,12.5,74.5,0,15,0,34.5,0,215.9,0,50,0,71,1011.9
Jun-17,22.1,26.2,19.2,30.4,15.2,51,0,5.5,0,17,0,152.5,0,35,0,70,1007.9
Jul-17,27.4,31.4,24.7,33.6,21.8,33,0,9.5,0,21,0,202.1,0,46,0,76,1008.5
Aug-17,26.7,30.5,24,36.3,19.8,63.5,0,15.5,0,18.5,0,101.8,0,24,0,80,1007
Sep-17,23.3,26.9,20.5,31.1,16.5,203,0,32,0,98,0,123.7,0,33,0,75,1011
Oct-17,17.5,20.4,15,28,10.3,454,0,18.5,0,116.5,0,94.4,0,27,0,77,1017.5
Nov-17,13.1,17.1,9.1,22.3,2.9,68.5,0,8,0,35.5,0,164.5,0,53,0,61,1016.8
Dec-17,7.8,11.8,4,16.9,1.3,18.5,0,7.5,0,12,0,206.7,0,68,0,49,1015.5
Jan-18,5.6,9.6,1.8,15.4,-2.3,60,0,12.5,0,23.5,0,208.9,0,67,0,49,1013.6
Feb-18,5.8,9.7,2.2,14.7,-0.8,18,0,2,0,7.5,0,168,0,55,0,51,1016.1
Mar-18,11.9,16.2,7.4,22.2,2,188.5,0,16,0,55,0,198.8,0,54,0,64,1016.3
Apr-18,17.2,21.4,13.4,26,8.2,76.5,0,12.5,0,42,0,195.6,0,50,0,65,1013.8
May-18,20,24.2,16.3,29.5,10.2,192,0,21.5,0,52,0,194.2,0,45,0,68,1010.9
Jun-18,22.5,26.3,19.7,32,14.9,156.5,0,13,0,42.5,0,163.5,0,38,0,79,1008.8
Jul-18,28.2,32.1,25.4,37.4,19.1,83,0,13,0,46.5,0,238.2,0,54,0,77,1010
Aug-18,28.1,32.2,25.2,37,19.7,58.5,0,8.5,0,24.5,0,231.1,0,55,0,76,1008.3
Sep-18,23.5,27,20.7,32.7,14.8,285,0,32.5,0,60,0,93,0,25,0,81,1012.9
Oct-18,19.7,23.3,16.6,30.9,12.3,65.5,0,15,0,17.5,0,141.5,0,40,0,70,1015
Nov-18,14.6,18.2,11.5,23,6.8,34,0,7.5,0,16,0,147.6,0,48,0,66,1019
Dec-18,8.9,12.5,5.6,23.1,0.8,43.5,0,5.5,0,20.5,0,139.8,0,46,0,55,1018
Jan-19,6.3,10.5,2.4,13.7,0.4,20,0,4,0,18,0,223.7,0,72,0,43,1015.7
Feb-19,7.6,11.5,3.9,19.6,-0.5,58.5,0,7.5,0,24,0,119.4,0,39,0,57,1017.3
Mar-19,10.9,14.8,7.2,22.1,2.7,107.5,0,9,0,30,0,172,0,47,0,57,1012.4
Apr-19,13.8,18.2,9.9,24.8,3.1,87,0,4.5,0,26.5,0,192.4,0,49,0,59,1012.7
May-19,20,24.6,16.4,31,10.6,114.5,0,19.5,0,69,0,218.6,0,50,0,62,1012.7
Jun-19,22,25.5,19,31.1,15.5,187,0,9.5,0,60.5,0,132.8,0,31,0,74,1007
Jul-19,24.3,27.5,22.1,33.2,18,200,0,13.5,0,33.5,0,91.4,0,21,0,81,1009.1
Aug-19,28.5,32,26,34.6,22.3,59.5,0,12.5,0,19,0,200.1,0,48,0,74,1008.3
Sep-19,25.2,29,22.3,34.7,18.4,169.5,0,28.5,0,108.5,0,155,0,42,0,72,1014.5
Oct-19,20.1,23.7,17.3,30.9,11.9,441,0,44,0,181.5,0,111.3,0,32,0,72,1015.3
Nov-19,14,17.9,10.4,23.5,2.9,158.5,0,6.5,0,62.5,0,166.2,0,54,0,62,1017.5
Dec-19,9.4,13.2,6.2,19.5,3.5,94,0,20,0,41,0,129.9,0,43,0,60,1018.9
Jan-20,7.7,11.1,4.5,17.4,1.7,158,0,25.5,0,49.5,0,140.6,0,45,0,59,1016
Feb-20,8.9,12.8,4.9,17.8,-1.7,35.5,0,6.5,0,18,0,194.6,0,62,0,52,1017.9
Mar-20,11.2,15.3,7.2,20.9,1.5,134.5,0,7,0,51.5,0,173.6,0,47,0,60,1013.2
Apr-20,13.4,17.7,9.1,23.1,5.3,221,0,18.5,0,91.5,0,202.3,0,52,0,60,1012.1
May-20,19.7,23.3,16.7,27.7,11.5,109,0,9,0,37.5,0,170,0,39,0,70,1010.8
Jun-20,23.4,27.1,20.4,32,17.4,224,0,18,0,58,0,130.4,0,30,0,77,1007
Jul-20,24.7,27.8,22.2,31.9,17.7,394,0,37.5,0,54.5,0,61.4,0,14,0,83,1008.8
Aug-20,29,33.2,26,35.7,22.5,54,0,24,0,51,0,277.1,0,66,0,72,1010.7
Sep-20,24.7,27.9,22.4,33.5,16.5,229,0,41.5,0,49.5,0,112.7,0,30,0,78,1011.8
Oct-20,18,21.4,15.2,26.5,9.3,197,0,7.5,0,63,0,107.8,0,31,0,71,1016.5
Nov-20,14.7,18.6,11.1,25.1,6.5,15.5,0,2,0,5,0,150.1,0,49,0,61,1019.6
Dec-20,8.5,12.4,4.9,16.9,0.3,20,0,5,0,8,0,159.8,0,53,0,55,1016.1
Jan-21,6,10.1,2.3,17.3,-2.1,41,0,2,0,15.5,0,182.4,0,59,0,52,1016.4
Feb-21,9.2,13.5,4.7,20.1,1.2,60.5,0,17,0,41,0,218.9,0,72,0,44,1014.2
Mar-21,13.2,17.7,9.3,23,3.7,129.5,0,11,0,64.5,0,174,0,47,0,59,1016.8
Apr-21,15.3,19.9,11.2,27.3,6.8,115.5,0,20,0,38.5,0,223.7,0,57,0,56,1017.2
May-21,,,,,,,0,,0,,0,,0,,0,,
