ダウンロードした時刻：2021/05/19 13:46:23,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,長野,長野,長野,長野,長野,長野,長野,長野,長野,長野,長野,長野,長野,長野,長野,長野,長野
年月,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
Jan-14,-1.2,3.6,-5.2,10,-8.7,32.5,0,2.5,0,10,0,148.1,0,48,0,80,968.8
Feb-14,-0.6,3.8,-4.5,15.6,-8.5,79,0,4,0,25.5,0,137.7,0,46,0,77,969.9
Mar-14,4.1,9.7,-0.6,21.9,-8,84.5,0,8.5,0,18.5,0,173.9,0,47,0,72,965.9
Apr-14,10.2,17.3,3.8,24.9,-2.2,30.5,0,3.5,0,13,0,242.3,0,62,0,56,967
May-14,16.5,23.9,10.4,30.7,4.6,63,0,10,0,34.5,0,238.6,0,55,0,59,962.6
Jun-14,21.3,27.1,17.1,32.7,12,111.5,0,21,0,21.5,0,165.2,0,38,0,70,959.1
Jul-14,24.6,30.3,20.4,37.7,17.1,68.5,0,12,0,12,0,191.7,0,43,0,73,961.1
Aug-14,24.6,30,21.2,35.8,18.7,155,0,26.5,0,43,0,124.6,0,30,0,77,962.5
Sep-14,19.5,25.5,14.9,29.3,8.7,35.5,0,8,0,10.5,0,197.3,0,53,0,71,965
Oct-14,14.1,20.1,9.4,28.2,1.8,98,0,7.5,0,26,0,183.7,0,53,0,74,969.3
Nov-14,8.6,14,4,20.4,-1.3,51.5,0,6.5,0,16.5,0,137.4,0,45,0,77,969.1
Dec-14,1.1,4.4,-1.7,16.8,-7.7,92.5,0,3.5,0,21,0,87.6,0,29,0,81,964.7
Jan-15,-0.4,3.4,-4,9.8,-7.6,76.5,0,5,0,18.5,0,122.4,0,40,0,79,966.4
Feb-15,1.1,5.8,-2.6,16.1,-7,42,0,3.5,0,10,0,137.8,0,46,0,75,965.6
Mar-15,5.4,11.7,0.2,22.2,-4.6,59.5,0,4.5,0,15.5,0,185,0,50,0,67,967.3
Apr-15,11.7,18.2,5.9,27.7,0.3,73,0,11,0,19,0,163,0,42,0,65,967.1
May-15,18.3,25.7,12,31.2,4.7,71.5,0,14,0,16,0,272.7,0,63,0,56,961.6
Jun-15,20.3,26,15.8,31.2,9.1,162,0,16.5,0,33,0,159.5,0,36,0,72,960.1
Jul-15,24.8,30.2,20.7,36.5,15.9,106,0,8.5,0,26.5,0,176.9,0,40,0,75,961.9
Aug-15,24.8,30.1,21.4,35.5,17.5,144.5,0,11,0,51.5,0,155,0,37,0,78,961.9
Sep-15,19.6,24.7,16.3,30.8,10.9,174,0,31,0,31.5,0,134.7,0,36,0,79,964.7
Oct-15,13.9,20.2,9,23.5,3.2,29,0,12.5,0,22,0,213.6,0,61,0,73,967.6
Nov-15,10.2,14.8,6.6,20.7,-0.6,81,0,4.5,0,20,0,102,0,33,0,80,972
Dec-15,4.3,9,0.1,15.9,-5.6,38.5,0,7,0,22.5,0,124.7,0,42,0,80,970.1
Jan-16,0.1,4.9,-3.8,12.1,-10,53,0,3.5,0,17,0,142.6,0,46,0,79,966.9
Feb-16,1.6,7,-2.9,15,-8,41,0,5,0,14,0,154.7,0,49,0,73,969.1
Mar-16,5.6,12.2,0.4,21.1,-5.5,19.5,0,2,0,8.5,0,190.9,0,52,0,67,969.3
Apr-16,12.6,19.7,6.8,26.7,-0.8,108.5,0,5.5,0,31,0,200.8,0,51,0,63,964.3
May-16,18.6,25.4,12.5,30.9,6.9,34.5,0,5,0,18,0,244.2,0,56,0,59,964.3
Jun-16,20.8,26.8,16.1,31.9,6.3,103,0,11,0,22,0,171.9,0,39,0,71,961.2
Jul-16,24.7,30.3,21.1,33.9,18.1,79,0,7.5,0,34.5,0,180.7,0,41,0,75,962.2
Aug-16,25.8,31.9,21.7,36.1,15.9,76.5,0,14.5,0,16,0,211.2,0,50,0,73,958.2
Sep-16,22.1,26.7,18.9,33.5,12.4,244,0,15,0,70,0,118.4,0,32,0,81,965.8
Oct-16,15,20.4,10.3,28.5,2.5,47.5,0,7,0,13.5,0,142.1,0,41,0,77,969.7
Nov-16,7.3,12.2,3.1,18.5,-2.5,50.5,0,3.5,0,13.5,0,113.6,0,37,0,79,970.5
Dec-16,3,7.9,-1.2,17.8,-6.2,66,0,6,0,14.5,0,151.2,0,51,0,81,969.4
Jan-17,-0.5,3.9,-4.1,10.2,-9.6,88,0,5,0,18.5,0,116.2,0,38,0,84,966.4
Feb-17,0.2,5.2,-3.9,12.3,-7.2,49.5,0,3.5,0,9.5,0,164.1,0,54,0,76,965.6
Mar-17,3.7,9.5,-0.6,16.7,-3.7,21.5,0,2,0,8.5,0,166,0,45,0,71,965.3
Apr-17,10.8,17.7,4.7,27.5,-2.1,45.5,0,4,0,10.5,0,207.4,0,53,0,63,963.7
May-17,17.4,24.2,11.6,31.7,3.3,59,0,16.5,0,17,0,224.4,0,51,0,66,963.8
Jun-17,18.8,25.3,13.7,34.5,7.4,56.5,0,6,0,18,0,215.2,0,49,0,70,960.7
Jul-17,25.1,30.2,21.5,35.1,18.3,289.5,0,33.5,0,63,0,171.4,0,39,0,80,961.9
Aug-17,24.9,30,21.7,34.7,17.2,224.5,0,57.5,0,92.5,0,140.7,0,34,0,79,960.2
Sep-17,19.8,25.2,15.4,28.5,8.9,71,0,9,0,31,0,167.1,0,45,0,76,964
Oct-17,14.3,18.3,11.1,27.1,4,249,0,13.5,0,60.5,0,92.6,0,27,0,81,970.1
Nov-17,6.8,12.5,1.9,19.8,-3,18,0,3.5,0,6,0,147.4,0,48,0,79,968.8
Dec-17,1,6.2,-3,10.7,-7.3,22,0,2.5,0,15,0,163.8,0,55,0,80,966.9
Jan-18,-0.7,3.8,-4.3,9.7,-11.1,40.5,0,4.5,0,13.5,0,127.9,0,42,0,79,964.9
Feb-18,-0.2,5.1,-4.6,11.4,-8.4,17.5,0,3,0,6,0,159,0,53,0,72,966.8
Mar-18,6.2,13.6,0.6,23,-3.5,74.5,0,7,0,23,0,214.5,0,58,0,66,968
Apr-18,13.1,20.5,7,29.5,0.4,74.5,0,6,0,26,0,221.7,0,57,0,63,965.4
May-18,16.8,23.5,11.1,32.1,3.9,96,0,5.5,0,19.5,0,193.1,0,44,0,69,963.1
Jun-18,20.8,26.9,16.3,35.4,10,40.5,0,6.5,0,15,0,198.1,0,45,0,71,961.2
Jul-18,26.8,32.7,22.4,36.5,19.1,142,0,16,0,89.5,0,257.8,0,58,0,72,962.9
Aug-18,26.1,32.8,21.7,38.5,13.4,82,0,24.5,0,40,0,214.2,0,51,0,72,961.9
Sep-18,20.2,24.6,17.1,33.2,12.1,239,0,13.5,0,38,0,85.5,0,23,0,81,965.3
Oct-18,15.1,20.8,10.6,30.3,3.7,31,0,8,0,13,0,166.9,0,48,0,77,967.6
Nov-18,9.1,14.8,4.6,21.1,-1.4,7.5,0,2.5,0,7.5,0,170.4,0,56,0,77,971.1
Dec-18,3.2,7.8,-0.5,22,-5.9,41,0,4.5,0,10.5,0,112.8,0,38,0,83,969.8
Jan-19,-0.6,4,-4.5,9.3,-9.5,40.5,0,3.5,0,13,0,136.2,0,44,0,82,967.8
Feb-19,1.2,6.5,-3,13.8,-7.4,19,0,4,0,8,0,132.5,0,44,0,75,969.1
Mar-19,5.3,12.2,-0.1,22.4,-4,77.5,0,8.5,0,13.5,0,162.7,0,44,0,69,964.2
Apr-19,9.7,16.2,4,28.1,-2.7,48,0,4.5,0,14,0,196.3,0,50,0,63,964.2
May-19,17.4,24.8,10.7,34.2,1.7,69.5,0,9.5,0,33.5,0,280.6,0,64,0,56,964.4
Jun-19,20,25.8,15.6,31.3,10.7,150,0,13,0,30.5,0,158.3,0,36,0,75,959.3
Jul-19,24,29.1,20.7,34.7,17.5,136,0,11,0,43,0,123.2,0,28,0,78,961.4
Aug-19,26.6,32.1,22.9,36.5,17.9,96,0,10.5,0,19,0,214.1,0,51,0,76,961.4
Sep-19,22.4,27.8,18.5,34.3,11.6,25.5,0,5.5,0,12,0,158.7,0,43,0,75,967.7
Oct-19,16.4,21.1,12.9,30.4,8,282.5,0,15,0,132,0,117.7,0,34,0,79,968.2
Nov-19,8.6,14.4,3.6,23.4,-1.1,12.5,0,2.5,0,4,0,167.9,0,55,0,76,970
Dec-19,3.3,8.5,-0.9,14.4,-4.4,49,0,4.5,0,24,0,128.6,0,43,0,81,970.5
Jan-20,2.8,7.2,-0.6,12.1,-4.7,28.5,0,6,0,10.5,0,112.5,0,37,0,80,967.5
Feb-20,2.4,8.1,-2.1,17.3,-8.8,48,0,3,0,13,0,145.7,0,47,0,78,969.5
Mar-20,6.2,12.4,0.7,22.8,-5.2,89,0,5,0,20,0,178.4,0,48,0,72,964.8
Apr-20,8.6,15.7,2.9,25.4,-1.1,75.5,0,7.5,0,31,0,216.6,0,55,0,67,964
May-20,17.7,25,12,32,5,53.5,0,10.5,0,26.5,0,221.5,0,51,0,63,962.5
Jun-20,21.8,27.6,17.5,35.1,13.9,146,0,17,0,45,0,186.8,0,43,0,74,959.7
Jul-20,22.9,27.1,20.1,32.2,16.1,317,0,52.5,0,66,0,67.3,0,15,0,86,961
Aug-20,27.2,33.5,22.8,37.2,20,12.5,0,8,0,8,0,241,0,58,0,73,964
Sep-20,22.7,27.8,19.5,35.8,11.2,129.5,0,34,0,37.5,0,146.7,0,39,0,75,964.3
Oct-20,13.5,18.4,9.6,26.9,1.6,80,0,4,0,30,0,113.9,0,33,0,80,969.2
Nov-20,8.9,15.1,3.8,25.5,-0.7,14,0,2.5,0,6,0,168.1,0,55,0,76,971.7
Dec-20,2,6.9,-1.8,12.9,-6.7,36.5,0,2.5,0,9.5,0,150.6,0,50,0,84,967.9
Jan-21,0.2,4.4,-3.2,11.3,-6.7,39.5,0,4,0,11,0,119.7,0,39,0,81,967.4
Feb-21,2.1,8.2,-2.9,19.1,-6.1,65,0,5.5,0,32.5,0,154.6,0,51,0,75,966
Mar-21,7.4,14.4,1.6,23.9,-2.9,54.5,0,8,0,21,0,187.5,0,51,0,67,968.5
Apr-21,10.7,18.1,4.4,24.2,-2.1,74,0,5.5,0,32.5,0,239.9,0,61,0,62,968.5
May-21,,,,,,,0,,0,,0,,0,,0,,
