ダウンロードした時刻：2021/05/19 13:55:56,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知
年月,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
Jan-14,7,12.8,2,17.8,-1.3,38.5,0,5,0,21,0,215.7,0,69,0,62,1020.7
Feb-14,8.1,12.8,4.1,20.2,0.8,132.5,0,22.5,0,86.5,0,149.8,0,49,0,59,1019.1
Mar-14,11.4,16.7,6.6,25.2,-0.4,259,0,30.5,0,130,0,212.5,0,58,0,62,1017.3
Apr-14,15.3,20.5,10.3,25.3,2.7,214,0,18.5,0,75.5,0,192.3,0,49,0,65,1015.9
May-14,19.8,25,14.8,28.9,8.5,202,0,17,0,75.5,0,259.3,0,60,0,65,1011.6
Jun-14,22.7,26.6,19.5,31,17.3,297,0,35,0,104,0,123.9,0,29,0,77,1005.9
Jul-14,26.9,31,23.5,35.3,19.5,195,0,33.5,0,66.5,0,188.5,0,43,0,76,1008.5
Aug-14,26.6,29.9,24.2,35.5,20.7,1561,0,74,0,372,0,80,0,19,0,84,1008.4
Sep-14,23.9,28.8,20.2,32.4,16,319,0,57,0,133,0,155.3,0,42,0,71,1011.4
Oct-14,20.3,25.1,16.2,29.5,9.5,259,0,34.5,0,139.5,0,162.7,0,46,0,67,1015.7
Nov-14,14.9,20.2,10.5,25,4.6,72.5,0,6.5,0,24.5,0,171.6,0,55,0,68,1018.2
Dec-14,6.7,12.1,2.3,20.7,-1.4,109,0,20,0,78.5,0,183.4,0,60,0,64,1019
Jan-15,7.2,12.3,2.7,18.2,-2.9,123,0,18,0,48,0,192,0,61,0,60,1018.9
Feb-15,7.3,12.7,2.4,18.1,-2.7,72.5,0,12.5,0,44.5,0,187.4,0,61,0,58,1018.1
Mar-15,11.2,16,6.6,22.2,-1.6,254,0,24.5,0,78,0,204.4,0,55,0,66,1018.2
Apr-15,17.2,21.6,13.1,25.6,8,270,0,30,0,104,0,133.6,0,34,0,74,1015.1
May-15,20.7,25.8,16,29.6,10.8,185.5,0,34.5,0,121,0,229.9,0,54,0,70,1010.1
Jun-15,22.3,26.1,19.3,30.4,15.7,314.5,0,9.5,0,49.5,0,102.5,0,24,0,83,1007.4
Jul-15,26.2,30,23.4,36.7,19.4,478.5,0,34.5,0,87,0,131,0,30,0,85,1008.4
Aug-15,27.6,31.8,24.2,35.2,22,325.5,0,71.5,0,75.5,0,192.6,0,47,0,78,1007.9
Sep-15,23.9,28.8,20.1,31.7,17.1,376,0,27,0,211,0,156.9,0,42,0,72,1010.8
Oct-15,19.1,25.2,13.7,29.2,9.6,54,0,10.5,0,38.5,0,245.7,0,70,0,60,1016.1
Nov-15,16.2,20.6,12.8,24.7,4.3,198,0,28.5,0,83,0,132.9,0,43,0,76,1020.1
Dec-15,10.9,16.1,6.5,22.8,1.2,315,0,47.5,0,136.5,0,189.5,0,62,0,67,1020.7
Jan-16,7.1,12.2,2.7,20.3,-4,73.5,0,7,0,37.5,0,154.6,0,49,0,65,1019.4
Feb-16,8.3,13.5,3.5,20.8,-0.4,219,0,28.5,0,146.5,0,184.6,0,58,0,58,1020.8
Mar-16,12,17.4,7.1,24.2,-0.4,149,0,10,0,56.5,0,210.7,0,57,0,59,1018.9
Apr-16,17.4,22.2,13.2,27.2,7.4,313.5,0,12.5,0,58,0,170.8,0,44,0,72,1013.1
May-16,20.8,25.3,16.3,30.9,12.1,313.5,0,16,0,72,0,214,0,50,0,73,1012.7
Jun-16,23.4,27,20.3,32.5,14.2,492,0,19.5,0,74,0,110,0,26,0,81,1008.4
Jul-16,27.5,31.1,24.5,33.5,21.9,173.5,0,31.5,0,76.5,0,201.1,0,46,0,78,1009.7
Aug-16,28.7,33.7,24.8,37.5,18.8,109.5,0,35.5,0,62.5,0,275.8,0,67,0,72,1004.2
Sep-16,25.8,29.8,23.1,33.8,19.2,579.5,0,30,0,97,0,93.4,0,25,0,82,1011.3
Oct-16,21.9,26.2,18.5,32,11.5,164,0,19.5,0,33,0,131.9,0,38,0,71,1016.1
Nov-16,14.7,19.9,10.3,24.7,5.2,100,0,8,0,27,0,176.8,0,57,0,70,1018.7
Dec-16,9.9,15.2,5.5,20.9,0.3,136,0,16,0,49,0,173,0,56,0,70,1020.6
Jan-17,7.1,12.9,2.5,17.4,-1.7,23,0,3.5,0,23,0,205.6,0,65,0,59,1019.6
Feb-17,7.5,13.1,2.6,18.3,-2.8,63.5,0,8.5,0,22.5,0,186.5,0,61,0,56,1018.4
Mar-17,10.2,15.5,5.7,20.9,1.7,52.5,0,5,0,29.5,0,203.6,0,55,0,57,1016.2
Apr-17,16.3,21.3,11.7,26.6,4.2,293.5,0,21,0,81.5,0,183.7,0,47,0,66,1013
May-17,20.4,25.5,15.5,28.2,12.7,127.5,0,16.5,0,40.5,0,233.9,0,55,0,67,1012.5
Jun-17,22.9,27.5,18.9,30.2,15.2,344,0,42,0,97.5,0,183.8,0,43,0,72,1008.4
Jul-17,27.8,31.9,24.8,34.7,22.1,181.5,0,38.5,0,52,0,174.7,0,40,0,81,1009.3
Aug-17,28.9,33.4,25.4,36.5,22.9,208.5,0,54.5,0,64,0,220.6,0,53,0,76,1006.3
Sep-17,24.2,28.8,20.4,32.3,14.2,207.5,0,21.5,0,65.5,0,147.2,0,40,0,74,1010.6
Oct-17,19.6,23.5,16.2,31.3,7.9,428.5,0,12,0,84,0,123,0,35,0,77,1016
Nov-17,12.9,17.8,8.3,23.3,2.4,54.5,0,8.5,0,15.5,0,160.8,0,51,0,72,1019.6
Dec-17,6.8,12.4,2.2,17.5,-1.5,37.5,0,6,0,26.5,0,194.9,0,63,0,63,1020.7
Jan-18,5.4,10.9,0.9,17.7,-3.8,96.5,0,13.5,0,41.5,0,208.2,0,66,0,65,1018.7
Feb-18,5.8,11.2,1.2,17.1,-4.6,108,0,20.5,0,54.5,0,183,0,60,0,62,1019.5
Mar-18,12.9,18,7.5,24.5,1.4,226,0,20.5,0,53,0,220.5,0,60,0,66,1017.3
Apr-18,17.3,22.4,12.2,26.4,3,201,0,16.5,0,114.5,0,230.8,0,59,0,67,1015.4
May-18,20.1,24.4,16,29.8,8.9,275.5,0,13,0,59.5,0,189.9,0,44,0,72,1012
Jun-18,23.4,27.8,19.9,31.7,15.4,355,0,40.5,0,101,0,163.3,0,38,0,80,1008.4
Jul-18,28,31.7,25.1,36.9,23.1,630.5,0,39,0,150.5,0,198.2,0,45,0,81,1009.3
Aug-18,28.6,32.8,25.2,36.5,19.8,250.5,0,37.5,0,102,0,228.9,0,55,0,77,1008.4
Sep-18,24.5,28.6,21.5,32.3,15.5,712.5,0,43.5,0,184.5,0,118.6,0,32,0,82,1011
Oct-18,19.2,24.4,14.9,29.7,9.6,84,0,17,0,23.5,0,203.8,0,58,0,71,1015.9
Nov-18,14.1,19.8,9.3,25.2,3.1,68,0,20,0,32.5,0,187.9,0,60,0,69,1020.2
Dec-18,9.9,14.4,6.1,22,-0.3,85,0,9,0,35.5,0,131.9,0,43,0,70,1021.4
Jan-19,7.3,13.1,2.6,16.2,-0.3,23.5,0,6,0,17.5,0,184,0,58,0,62,1020.3
Feb-19,9.3,14.2,5.4,20.1,-0.7,81,0,8,0,33,0,156.2,0,51,0,65,1019.5
Mar-19,11.7,16.9,7,21.6,2.3,144,0,8,0,42,0,205.9,0,56,0,63,1014.8
Apr-19,15.5,20.5,10.9,27.1,3.2,207,0,10,0,61,0,216.6,0,56,0,65,1013.5
May-19,20.1,25.1,15.1,30.9,8.9,184,0,43,0,122.5,0,239.1,0,56,0,67,1012.6
Jun-19,23.1,27.3,19.5,29.8,16.1,385,0,66,0,91,0,173.4,0,40,0,79,1006.6
Jul-19,25.9,29.2,23.4,33.7,20.9,472.5,0,34.5,0,83,0,114.6,0,26,0,86,1007.8
Aug-19,27.7,31.4,24.6,36.8,20.3,280.5,0,28.5,0,94.5,0,154.8,0,37,0,81,1007.4
Sep-19,26.4,30.8,23.1,34.6,18.6,224,0,61.5,0,67.5,0,177.9,0,48,0,76,1013.2
Oct-19,21.9,26.8,17.9,31.6,12.2,400,0,75.5,0,218,0,173.4,0,49,0,71,1014.3
Nov-19,14.4,19.9,9.5,25,3,20.5,0,2.5,0,7.5,0,191,0,61,0,69,1019
Dec-19,10.3,15.4,5.9,20.7,2.5,116.5,0,28,0,55.5,0,147.8,0,48,0,70,1021.1
Jan-20,9.2,14.4,5,20,0.4,153,0,17.5,0,41,0,167.1,0,53,0,67,1018.1
Feb-20,9,14.5,4.2,23.4,-0.3,99.5,0,8,0,34,0,199.5,0,63,0,65,1021.4
Mar-20,12.3,17.3,7.5,21.4,1.5,175,0,10,0,30.5,0,190.6,0,52,0,68,1015.1
Apr-20,14.4,19.7,9.2,24.2,5,173.5,0,15,0,53,0,265.6,0,68,0,58,1014.4
May-20,20.5,25.2,16.4,29.1,11.3,307,0,38,0,113.5,0,219.7,0,51,0,72,1011
Jun-20,24,28.1,20.6,31.7,17.7,440.5,0,70.5,0,191.5,0,150.4,0,35,0,80,1007.4
Jul-20,25.8,29.1,23.2,34.2,19.8,951.5,0,70,0,176,0,120.3,0,28,0,86,1008.5
Aug-20,29.2,34,25.5,37.8,23.9,92,0,17,0,31,0,269.5,0,65,0,77,1011
Sep-20,25.1,29.4,21.7,33.7,17.2,454.5,0,70,0,147.5,0,135.4,0,36,0,78,1010.4
Oct-20,19.6,24.8,15.2,29.8,8.5,273,0,27.5,0,167.5,0,202.5,0,58,0,69,1015.8
Nov-20,15.5,21,10.7,25.3,6.1,94.5,0,7,0,40,0,175.3,0,56,0,71,1021.2
Dec-20,8.7,14.7,3.9,19.7,-1,24.5,0,3.5,0,9.5,0,214.2,0,70,0,62,1020.4
Jan-21,6.9,12.5,2.1,19.2,-4.5,76,0,6.5,0,30.5,0,206.1,0,66,0,63,1020.1
Feb-21,9.6,15.6,4.4,21.4,-2.3,82,0,9.5,0,36,0,201.2,0,66,0,60,1018.2
Mar-21,13.9,19.1,9,24.6,3.3,286,0,24,0,88,0,182.1,0,49,0,68,1017.5
Apr-21,15.9,20.9,11.1,26.5,6.2,252.5,0,15.5,0,95,0,214.1,0,55,0,66,1017.3
May-21,,,,,,,0,,0,,0,,0,,0,,
